0#1#3
Mayors outgoing and incoming#Mayors outgoing and incoming#Mayors outgoing and incoming
Municipality#Incumbent mayor#Presumed new mayor[e]
Aabenraa#Jan Riber Jakobsen#Jan Riber Jakobsen
Aalborg#Lasse Frimand Jensen#Lasse Frimand Jensen
Aarhus#Anders Winnerskjold#Anders Winnerskjold
Albertslund#Steen Christiansen#Lars Gravgaard Hansen
Allerød#Karsten Längerich#Clara Rao
Assens#Søren Steen Andersen#Søren Steen Andersen
Ballerup#Jesper Würtzen#Jesper Würtzen
Billund#Stephanie Storbank#Stephanie Storbank
Bornholm#Jacob Trøst#Frederik Tolstrup
Brøndby#Maja Højgaard#Maja Højgaard
Brønderslev#Mikael Klitgaard#Mikael Klitgaard
Dragør#Kenneth Gøtterup#Kenneth Gøtterup
Egedal#Vicky Holst Rasmussen#Birgitte Neergaard-Kofod
Esbjerg#Jesper Frost Rasmusssen#Jesper Frost Rasmusssen
Fanø#Frank Jensen#Frank Jensen
Favrskov#Lars Storgaard#Lars Storgaard
Faxe#Ole Vive#Mikkel B. Dam
Fredensborg#Thomas Lykke Pedersen#Thomas Lykke Pedersen
Fredericia#Christian Bro#Peder Tind
Frederiksberg#Michael Vindfeldt#Michael Vindfeldt
Frederikshavn#Karsten Thomsen#Jon Anderson
Frederikssund#Tina Tving Stauning#Anne Sofie Uhrskov
Furesø#Ole Bondo Christensen#Nicolai Bechfeldt
Faaborg-Midtfyn#Hans Stavnsager#Anstina Krogh
Gentofte#Michael Fenger#Michael Fenger
Gladsaxe#Trine Græse#Serdal Benli
Glostrup#Kasper Damsgaard#Kasper Damsgaard
Greve#Pernille Beckmann#Pernille Beckmann
Gribskov#Bent Hansen#Hanne Pigonska
Guldborgsund#Simon Hansen#Simon Hansen
Haderslev#Mads Skau#Mads Skau
Halsnæs#Steffen Jensen#Steffen Jensen
Hedensted#Ole Vind#Ole Vind
Helsingør#Benedikte Kiær#Benedikte Kiær
Herlev#Marco Damgaard#Marco Damgaard
Herning#Dorte West#Dorte West
Hillerød#Kirsten Jensen#Christoffer Lorenzen
Hjørring#Søren Smalbro#Søren Smalbro
Holbæk#Christina Krzyrosiak Hansen#Christina Krzyrosiak Hansen
Holstebro#H.C. Østerby#Kenneth Tønning
Horsens#Peter Sørensen#Peter Sørensen
Hvidovre#Anders Wolf Andresen#Anders Wolf Andresen
Høje-Taastrup#Kurt Scheelsbeck#Michael Ziegler
Hørsholm#Morten Slotved#Morten Slotved
Ikast-Brande#Ib Lauritsen#Ib Lauritsen
Ishøj#Merete Amdisen#Merete Amdisen
Jammerbugt#Mogens Christen Gade#Christian Hem
Kalundborg#Martin Damm#Martin Damm
