rank#nation#gold#silver#bronze#total
1#Russia (RUS)#2#4#0#6
2#Japan (JPN)#2#0#2#4
3#Germany (GER)#2#0#0#2
4#Mongolia (MGL)#1#2#0#3
5#Hungary (HUN)#1#1#0#2
6#Spain (ESP)#1#0#3#4
7#Georgia (GEO)#1#0#2#3
8#France (FRA)#1#0#1#2
9#Canada (CAN)#1#0#0#1
9#South Korea (KOR)#1#0#0#1
9#Switzerland (SUI)#1#0#0#1
12#Italy (ITA)#0#2#4#6
13#China (CHN)#0#2#0#2
14#Moldova (MDA)#0#1#1#2
14#Tajikistan (TJK)#0#1#1#2
16#Australia (AUS)#0#1#0#1
17#Brazil (BRA)#0#0#3#3
18#Netherlands (NED)#0#0#2#2
18#Serbia (SRB)#0#0#2#2
20#Azerbaijan (AZE)#0#0#1#1
20#Israel (ISR)#0#0#1#1
20#Kazakhstan (KAZ)#0#0#1#1
20#Kosovo (KOS)#0#0#1#1
20#Sweden (SWE)#0#0#1#1
20#Turkey (TUR)#0#0#1#1
20#United Arab Emirates (UAE)*#0#0#1#1
Totals (26 entries)#Totals (26 entries)#14#14#28#56
