candidate_candidate#round_1_votes#round_1_%#round_2_votes#round_2_%
Jacob Frey (incumbent)#61340#41.71#73723#50.03[f]
Omar Fateh#46510#31.63#65377#44.37[f]
DeWayne Davis#20383#13.86#Eliminated#Eliminated
Jazz Hampton#15305#10.41#Eliminated#Eliminated
Laverne Turner#795#0.54#Eliminated#Eliminated
Brenda Short#767#0.52#Eliminated#Eliminated
Charlie McCloud#474#0.32#Eliminated#Eliminated
Andrea Revel#379#0.26#Eliminated#Eliminated
Kevin Dwire#295#0.20#Eliminated#Eliminated
Alejandro Richardson#205#0.14#Eliminated#Eliminated
Kevin Ward#188#0.11#Eliminated#Eliminated
Jeffrey Wagner#127#0.09#Eliminated#Eliminated
Xavier Pauke#93#0.06#Eliminated#Eliminated
Troy Peterson#52#0.04#Eliminated#Eliminated
Adam Terzich#51#0.03#Eliminated#Eliminated
Write-ins#113#0.08#Eliminated#Eliminated
Exhausted ballots#<NA>#<NA>#8256#5.60%
Total#147055#100.0%#139100#100.0%
