no._key:_ p_participant_a_absent_n_non-invitee_i_invitee_w_withdrawn_key:_ p_participant_a_absent_n_non-invitee_i_invitee_w_withdrawn#date_key:_ p_participant_a_absent_n_non-invitee_i_invitee_w_withdrawn_key:_ p_participant_a_absent_n_non-invitee_i_invitee_w_withdrawn#host_key:_ p_participant_a_absent_n_non-invitee_i_invitee_w_withdrawn_key:_ p_participant_a_absent_n_non-invitee_i_invitee_w_withdrawn#moderator_key:_ p_participant_a_absent_n_non-invitee_i_invitee_w_withdrawn_key:_ p_participant_a_absent_n_non-invitee_i_invitee_w_withdrawn#participants_unnamed:_5_level_1_gainer#participants_unnamed:_7_level_1_scanlon#participants_unnamed:_8_level_1_tyson-_thompson#participants_unnamed:_9_level_1_whitfield#participants_unnamed:_10_level_1_wyatt#participants_unnamed:_11_level_1_other
1#December 5, 2024#ECDC#Jennifer Hibit#P#P#N#P#N#[a]
2#January 25, 2025#ECDC#Jennifer Hibit#P#P#N#P#P#[b]
3#February 18, 2025#ECDC#Jeremy Zellner#N#P#N#P#P#<NA>
4#March 5, 2025#ESCP#Austin Martin Sherry Sherrill#P#P#N#P#P#[c]
5#May 12, 2025#LCV#Michael Wooten Julie Tighe#N#A#P#A#P#<NA>
6#May 30, 2025#WUFO#Darius Pridgen Marc Pope#N#P#P#P#P#<NA>
7#May 30, 2025#Casting Buffalo#Harry Lipsitz#P#A#P#P#A#<NA>
8#May 31, 2025#NYIC#Win Min Thant#N#P#P#P#P#<NA>
9#June 4, 2025#Good Food Buffalo Coalition#Brenda McDuffie#P#A#P#A#A#<NA>
10#June 5, 2025#The Buffalo News#Deidre Williams Elizabeth Licata Justin Sondel#N#P#P#P#P#<NA>
11#June 12, 2025#WNYIL#Todd Vaarwerk#N#P#P#P#P#<NA>
12#June 13, 2025#BRRAlliance#Timothy Priano#P#P#A#P#A#<NA>
