country/territory#contestant#age[a]#hometown
Albania#Gledia Preka#25#Lezhë
Angola#Lauriela Martins#27#Cabinda
Argentina#Daiana Pereyra#26#Misiones
Australia#Isabella Dela Cruz#25#Sydney
Bangladesh#Jessia Islam#26#Dhaka
Belgium#Elizabeth Victoria Raska#27#Brussels
Bolivia#Paola Guzmán#22#Cochabamba
Brazil#Loraine Lumatelli#24#Rosário do Sul
Cambodia#Pichvoleak So#24#Kampot
Canada#Rachel Murgel#24#Belleville
Chile#Nallely Bobadilla#24#Talca
China#Le Wei He#21#Shanghai
Colombia#Catalina Duque#26#Medellín
Cook Islands#Zoe Hoff#24#Avarua
Costa Rica#Shakira Graham#23#Siquirres
Cuba#Rosangela Rizo#27#Havana
Czech Republic#Simona Procházková#25#Znojmo
Denmark#Asta Nielsen#23#Herlev
Dominican Republic#Anita Maspons#22#Santo Domingo
Ecuador#Eunice Rivadeneira#25#Guayaquil
El Salvador#Alva Echegoyen#24#Santa Tecla
Ethiopia#Felicity Feleke#22#Addis Ababa
Finland#Vera Eloranta#22#Tampere
France#Laura Hérault#24#Martinique
Ghana#Portia Akua Mensah#21#Tema
Greece#Daniela Palousi#24#Piraeus
Guatemala#Hilda Gutiérrez#21#Chiquimula
Hawaii#Maya Kāneali'i#18#Hilo
Honduras#Irma Handal#21#Siguatepeque
Hong Kong#Alicia Mui#22#Hong Kong
India#Roosh Sindhu#26#Nagpur
Indonesia#Melliza Xaviera Yulian#26#Jakarta
Italy#Egle Fruttauro#19#Naples
Jamaica#Shanté Jarrett#24#Montego Bay
Japan#Ai Nozaki#23#Yamanashi
Kenya#Fridah Kariuki#28#Kiambere
Liberia#Precious Lemu Flomo#23#Bong County
Macau#Katrina Wan#26#Macau
Malaysia#Allyson Ee#25#Johor
Malta#Demi Mock#22#Għargħur
Mauritius#Naarmeen Bernon#24#Port Louis
Mexico#Natalia Garibay#25#Puerto Vallarta
Mongolia#Tsegmid Bayarchimeg#22#Ulaanbaatar
Montenegro#Ana Dedvukaj#20#Tuzi
Myanmar#Nan Inzali#24#Hakha
Namibia#Uatjiri Mbaisi#27#Otjinene
Nepal#Urusha Bhandari#26#Sudurpashchim
Netherlands#Serena Darder#25#Badhoevedorp
New Zealand#Britney Pringle#25#Auckland
Nicaragua#Verónica Iglesias#24#Granada
