#date#race#location#categories
1#23 November 2025#Cyklokros Tábor#Tábor#All
2#30 November 2025#Cyclo-cross Flamanville#Flamanville#All
3#7 December 2025#Cyclo-cross Terralba-Sardinia#Terralba#Elite
4#14 December 2025#Citadelcross Namur#Namur#Elite
5#20 December 2025#Scheldecross Antwerpen#Antwerp#Elite
6#21 December 2025#Duinencross Koksijde#Koksijde#All
7#26 December 2025#Cyclo-cross Gavere#Gavere#Elite
8#28 December 2025#Ambiancecross#Dendermonde#All
9#4 January 2026#Cyclo-cross Zonhoven#Zonhoven#Elite
10#18 January 2026#Cyclo-cross Benidorm#Benidorm#All
11#24 January 2026#Cyclo-cross Maasmechelen#Maasmechelen#Elite
12#25 January 20256#Grand Prix Adrie van der Poel#Hoogerheide#All
