no.#title#unnamed:_2
1#"Episode 1"#<NA>
Eun-su visits her mom for her birthday and discovers her dad still physically hits her mom.#Eun-su visits her mom for her birthday and discovers her dad still physically hits her mom.#Eun-su visits her mom for her birthday and discovers her dad still physically hits her mom.
2#"Episode 2"#<NA>
Hui-su becomes fully intoxicated during an exhibition.#Hui-su becomes fully intoxicated during an exhibition.#Hui-su becomes fully intoxicated during an exhibition.
3#"Episode 3"#<NA>
4#"Episode 4"#<NA>
Hui-su and Eun-su try to cover their tracks.#Hui-su and Eun-su try to cover their tracks.#Hui-su and Eun-su try to cover their tracks.
5#"Episode 5"#<NA>
6#"Episode 6"#<NA>
7#"Episode 7"#<NA>
8#"Episode 8"#<NA>
