party.1#candidate#votes#%
Democratic#Christian Menefee#22022#28.9
Democratic#Amanda Edwards#19467#25.55
Democratic#Jolanda Jones#14549#19.1
Republican#Carmen María Montiel#5110#6.71
Democratic#Isaiah Martin#4337#5.69
Republican#Ollie Knox#3131#4.11
Democratic#Stephen Huey#1415#1.86
Republican#Ronald Whitfield#1175#1.54
Republican#Carter Page#943#1.24
Republican#Theodis Daniel#937#1.23
Democratic#Valencia Williams#915#1.2
Independent#George Foreman IV#828#1.09
Democratic#Feldon Bonner II#555#0.73
Independent#Vince Duncan#407#0.53
Independent#Reyna Anderson#263#0.35
Green#Tammie Rochester#135#0.18
Total votes#Total votes#76189#100.0
