borough_borough_borough#district_district_district#unnamed:_3_level_0_city_councillors_borough_mayor#unnamed:_5_level_0_city_councillors_city_councillor#unnamed:_7_level_0_borough_councillor_borough_councillor
Ahuntsic-Cartierville#Ahuntsic#Maude Théroux-Séguin#Nathalie Goulet#<NA>
Ahuntsic-Cartierville#Bordeaux-Cartierville#Maude Théroux-Séguin#Effie Giannou#<NA>
Ahuntsic-Cartierville#Saint-Sulpice#Maude Théroux-Séguin#Victor Esposito#<NA>
Ahuntsic-Cartierville#Sault-au-Récollet#Maude Théroux-Séguin#Carla Beauvais#<NA>
Anjou#Centre#Luis Miranda#Andrée Hénault#Kristine Marsolais
Anjou#East#Luis Miranda#Andrée Hénault#Richard Leblanc
Anjou#West#Luis Miranda#Andrée Hénault#Marie-Josée Dubé
Côte-des-Neiges– Notre-Dame-de-Grâce#Côte-des-Neiges#Stephanie Valenzuela#Émilie Brière#<NA>
Côte-des-Neiges– Notre-Dame-de-Grâce#Darlington#Stephanie Valenzuela#Milany Thiagarajah#<NA>
Côte-des-Neiges– Notre-Dame-de-Grâce#Loyola#Stephanie Valenzuela#Alexandre Teodoresco#<NA>
Côte-des-Neiges– Notre-Dame-de-Grâce#Notre-Dame-de-Grâce#Stephanie Valenzuela#Peter McQueen#<NA>
Côte-des-Neiges– Notre-Dame-de-Grâce#Snowdon#Stephanie Valenzuela#Sonny Moroz#<NA>
L'Île-Bizard– Sainte-Geneviève#Denis-Benjamin-Viger#Danielle Myrand#<NA>#Alain Wilson
L'Île-Bizard– Sainte-Geneviève#Jacques-Bizard#Danielle Myrand#<NA>#Richard Bélanger
L'Île-Bizard– Sainte-Geneviève#Pierre-Foretier#Danielle Myrand#<NA>#Julie Forgues
L'Île-Bizard– Sainte-Geneviève#Sainte-Geneviève#Danielle Myrand#<NA>#Christopher Little
Lachine#Du Canal#Julie-Pascale Provost#Dominic Roussel#Nancy Berthelot
Lachine#Fort-Rolland#Julie-Pascale Provost#Dominic Roussel#Jacques Filion
Lachine#J.-Émery-Provost#Julie-Pascale Provost#Dominic Roussel#Ludovic Fermely
LaSalle#Cecil-P.-Newman#Nancy Blanchet#Laura Palestini#Bisma Ansari
LaSalle#Sault-Saint-Louis#Nancy Blanchet#Richard Deschamps#Daniela Romano
Mercier– Hochelaga-Maisonneuve#Hochelaga#Chantal Gagnon#Sarah V. Doyon#<NA>
Mercier– Hochelaga-Maisonneuve#Louis-Riel#Chantal Gagnon#Alba Stella Zuniga Ramos#<NA>
Mercier– Hochelaga-Maisonneuve#Maisonneuve–Longue-Pointe#Chantal Gagnon#Alexandre Devaux-Guizani#<NA>
Mercier– Hochelaga-Maisonneuve#Tétreaultville#Chantal Gagnon#Julien Hénault-Ratelle#<NA>
Montréal-Nord#Marie-Clarac#Christine Black#Youssef Hariri#Jean Marc Poirier
Montréal-Nord#Ovide-Clermont#Christine Black#Chantal Rossi#Philippe Thermidor
Outremont#Claude-Ryan#Caroline Braun#<NA>#Georgia Haloulos
Outremont#Jeanne-Sauvé#Caroline Braun#<NA>#Maude Choko
Outremont#Joseph-Beaubien#Caroline Braun#<NA>#Mercedez Plante
Outremont#Robert-Bourassa#Caroline Braun#<NA>#Amélie Cliche
