ep._ep._ep.#original_broadcast_date_original_broadcast_date_original_broadcast_date#average_audience_share_(nielsen_korea)[11]_nationwide#average_audience_share_(nielsen_korea)[11]_seoul
1#November 3, 2025#5.456% (2nd)#5.190% (2nd)
2#November 4, 2025#4.790% (2nd)#4.815% (2nd)
3#November 10, 2025#4.242% (1st)#4.216% (1st)
4#November 11, 2025#4.491% (1st)#4.643% (1st)
5#November 17, 2025#4.581% (1st)#4.801% (1st)
6#November 18, 2025#3.130% (2nd)#3.399% (2nd)
7#November 24, 2025#4.223% (1st)#4.444% (1st)
8#November 25, 2025#4.094% (1st)#4.089% (1st)
9#December 1, 2025#4.674% (1st)#4.465% (1st)
10#December 2, 2025#4.715% (1st)#4.823% (1st)
11#December 15, 2025[a]#<NA>#<NA>
12#December 16, 2025[a]#<NA>#<NA>
13#December 22, 2025#<NA>#<NA>
14#December 23, 2025#<NA>#<NA>
15#December 29, 2025#<NA>#<NA>
16#December 30, 2025#<NA>#<NA>
Average#Average#<NA>#<NA>
