names#dates#location#teams#champion#runner-up#3rd-place_winner
Raising the B.A.R. Invitational#November 15–16, 2025#Haas Pavilion (Berkeley, CA)#4#California#Harvard#Charlotte
DePaul MTE#November 21–22, 2025#Wintrust Arena (Chicago, IL)#4#Northern Colorado#DePaul#Campbell
Great Alaska Shootout#November 21–22, 2025#Alaska Airlines Center (Anchorage, AK)#4#UC Irvine#St. Thomas (MN)#Bowling Green
Emerald Coast Classic#November 24–25, 2025#Raider Arena (Niceville, FL)#8#Mississippi State (Bay) Nebraska (Beach)#Middle Tennessee (Bay) Virginia (Beach)#Providence (Bay) Purdue Fort Wayne (Beach)
Baha Mar Hoops Pink Flamingo Championship#November 24–26, 2025#Baha Mar Convention Center (Nassau, Bahamas)#8#Ohio State (Goombay) Alabama (Junkanoo)#West Virginia (Goombay) Minnesota (Junkanoo)#McNeese (Goombay) South Florida (Junkanoo)
Players Era Championship#November 26–27, 2025#Michelob Ultra Arena (Paradise, NV)#4#Texas#South Carolina#UCLA
Paradise Jam#November 27–29, 2025#Sports and Fitness Center (Charlotte Amalie West, VI)#12#Boise State (Harbor) Vanderbilt (Island) LSU (Reef)#Tulane (Harbor) BYU (Island) Washington State (Reef)#Elon (Harbor) Virginia Tech (Island) Miami (OH) (Reef)
CBU Classic#November 28–29, 2025#Fowler Events Center (Riverside, CA)#4#UC Santa Barbara#Chattanooga#California Baptist
Iona Turkey Tip-Off#November 28–29, 2025#Hynes Athletic Center (New Rochelle, NY)#4#Iona#UIC#Maine
FIU Thanksgiving Classic#November 28–30, 2025#Ocean Bank Convocation Center (University Park, FL)#4#FIU#Seattle#UMBC
Coconut Hoops#November 28–30, 2025#Alico Arena (Fort Myers, FL)#8#Iowa State (Blue Heron) Oklahoma (Great Egret)#Indiana (Blue Heron) Florida State (Great Egret)#Gonzaga (Blue Heron) Missouri State (Great Egret)
Baha Mar Nassau Championship#November 28–30, 2025#Baha Mar Convention Center (Nassau, Bahamas)#8#Arkansas State (Goombay) Michigan State (Junkanoo)#Kent State (Goombay) Clemson (Junkanoo)#Houston (Goombay) Temple (Junkanoo)
HBCU Hoops Invitational#December 5–7, 2025#ESPN Wide World of Sports Complex (Bay Lake, FL)#4#<NA>#<NA>#<NA>
Big 5 Classic#November 12–December 7, 2025#Finneran Pavilion (Villanova, PA)#6#<NA>#<NA>#<NA>
Tulane Holiday Tournament#December 20–21, 2025#Devlin Fieldhouse (New Orleans, LA)#4#<NA>#<NA>#<NA>
Hawk Classic#December 20–21, 2025#Hagan Arena (Philadelphia, PA)#4#<NA>#<NA>#<NA>
Cherokee Invitational#December 21–22, 2025#Harrah's Cherokee (Cherokee, NC)#4#<NA>#<NA>#<NA>
