ep._ep.#original_broadcast_date_original_broadcast_date#average_audience_share_(nielsen_korea)[14]_nationwide#average_audience_share_(nielsen_korea)[14]_seoul
1#November 17, 2025#2.004% (2nd)#1.853% (2nd)
2#November 18, 2025#2.465% (3rd)#2.288% (3rd)
3#November 24, 2025#3.664% (2nd)#3.850% (2nd)
4#November 25, 2025#3.752% (2nd)#3.303% (2nd)
5#December 1, 2025#4.398% (2nd)#4.415% (2nd)
6#December 2, 2025#4.204% (2nd)#3.687% (2nd)
7#December 8, 2025#<NA>#<NA>
8#December 9, 2025#<NA>#<NA>
9#December 15, 2025#<NA>#<NA>
10#December 16, 2025#<NA>#<NA>
Average#Average#<NA>#<NA>
