pos#no.#driver#team#q1_time#rank#q2_time#rank.1#gap#grid
1#6#Théophile Naël#KCMG Enya Pinnacle Motorsport#2:16.048#4#2:15.609#1#<NA>#1
2#11#Freddie Slater#SJM Theodore Prema Racing#2:15.708#1#2:15.876#2#+0.099#2
3#22#Evan Giltaire#ART Grand Prix#2:17.765#16#2:15.884#3#+0.275#3
4#23#Taito Kato#ART Grand Prix#2:16.886#8#2:15.916#4#+0.307#4
5#5#Enzo Deligny#R-ace GP#2:16.016#2#2:15.959#5#+0.350#5
6#7#Mari Boya#KCMG Enya Pinnacle Motorsport#2:16.029#3#2:16.088#7#+0.420#6
7#19#Mattia Colnaghi#PHM Racing#2:16.685#6#2:16.036#6#+0.427#7
8#12#Rashid Al Dhaheri#SJM Theodore Prema Racing#2:16.733#7#2:16.558#8#+0.949#8
9#2#Matteo De Palo#R-ace GP#2:16.651#5#2:16.676#9#+1.042#121
10#25#Noah Strømsted#Trident Motorsport#2:16.954#9#2:16.832#10#+1.223#9
11#15#James Egozi#Saintéloc Racing#2:17.079#11#2:16.913#11#+1.304#10
12#26#Tasanapol Inthraphuvasak#Trident Motorsport#2:17.479#15#2:16.983#12#+1.374#11
13#20#Enzo Yeh#PHM Racing#2:17.900#18#2:17.001#13#+1.392#13
14#3#Jin Nakamura#R-ace GP#2:17.046#10#2:17.183#14#+1.437#14
15#21#José Garfias#PHM Racing#2:17.104#12#2:18.935#24#+1.495#15
16#10#Hiyu Yamakoshi#Evans GP#2:18.947#24#2:17.297#15#+1.688#16
17#8#Charlie Wurz#Evans GP#2:17.359#13#2:18.369#22#+1.750#17
18#29#Tymek Kucharczyk#Van Amersfoort Racing#2:17.474#14#2:18.431#23#+1.865#18
19#17#Yuki Sano#TOM'S Formula#2:18.974#25#2:17.566#16#+1.957#19
20#28#Kiyoshi Umegaki#Van Amersfoort Racing#2:19.163#26#2:17.783#17#+2.174#20
21#16#Owen Tangavelou#Saintéloc Racing#2:19.207#27#2:17.785#18#+2.176#21
22#24#Kanato Le#ART Grand Prix#2:17.790#17#2:37.433#25#+2.181#22
23#31#Charles Leong#SJM Theodore Prema Racing#2:18.000#20#2:17.897#19#+2.288#23
24#18#Tokiya Suzuki#TOM'S Formula#2:17.956#19#2:18.311#21#+2.347#24
25#27#Reza Seewooruthun#Trident Motorsport#2:18.534#22#2:18.181#20#+2.572#25
26#30#Newman Chi#Van Amersfoort Racing#2:18.317#21#<NA>#26#+2.708#26
27#9#Oscar Wurz#Evans GP#2:18.820#23#<NA>#27#+3.211#27
Sources:#Sources:#Sources:#Sources:#Sources:#Sources:#Sources:#Sources:#Sources:#Sources:
