ep._ep._ep.#original_broadcast_date_original_broadcast_date_original_broadcast_date#average_audience_share_nielsen_korea[12]_nationwide#average_audience_share_nielsen_korea[12]_seoul
1#November 12, 2025#4.5% (9th)#4.9% (7th)
2#November 13, 2025#4.0% (13th)#3.6% (12th)
3#November 19, 2025#5.3% (9th)#5.6% (6th)
4#November 20, 2025#6.3% (6th)#6.5% (2nd)
5#November 26, 2025#5.9% (7th)#6.2% (3rd)
6#November 27, 2025#5.9% (7th)#6.1% (5th)
7#December 3, 2025#5.4% (6th)#5.5% (4th)
8#December 4, 2025#6.7% (4th)#7.1% (3rd)
9#December 10, 2025#<NA>#<NA>
10#December 11, 2025#<NA>#<NA>
11#December 17, 2025#<NA>#<NA>
12#December 18, 2025#<NA>#<NA>
13#December 24, 2025#<NA>#<NA>
14#December 25, 2025#<NA>#<NA>
Average#Average#<NA>#<NA>
