date_time,_tv_exhibition#opponent_exhibition#site_(attendance)_city,_state_exhibition
October 22, 2025* 6:00 p.m.#Missouri Western#D. J. Sokol Arena Omaha, NE
October 26, 2025* 12:00 p.m.#vs. North Dakota State#Sanford Pentagon Sioux Falls, SD
Regular season#Regular season#Regular season
November 3, 2025* 6:00 p.m., ESPN+#South Dakota State#D. J. Sokol Arena (1,489) Omaha, NE
November 9, 2025* 2:00 p.m., ESPN+#at Drake#Knapp Center (2,587) Des Moines, IA
November 12, 2025* 8:00 p.m., FS1#at Nebraska#Pinnacle Bank Arena (5,110) Lincoln, NE
November 20, 2025* 6:00 p.m., ESPN+#Northern Iowa#D. J. Sokol Arena (1,429) Omaha, NE
November 26, 2025* 2:00 p.m.#at UNLV UNLV Thanksgiving Turkey Tip-Off#Thomas & Mack Center Paradise, NV
November 28, 2025* 2:00 p.m.#vs. Northern Arizona UNLV Thanksgiving Turkey Tip-Off#Thomas & Mack Center Paradise, NV
December 4, 2025 6:00 p.m., ESPN+#at St. Johns#Carnesecca Arena Queens, NY
December 7, 2025* 1:00 p.m., ESPN+#Tulsa#D. J. Sokol Arena Omaha, NE
December 14, 2025* 1:00 p.m., FS1#Kansas State#D. J. Sokol Arena Omaha, NE
December 17, 2025* 6:30 p.m., SLN#at Omaha#Baxter Arena Omaha, NE
December 20, 2025 1:00 p.m., ESPN+#DePaul#D. J. Sokol Arena Omaha, NE
December 22, 2025 3:00 p.m., ESPN+#Seton Hall#D. J. Sokol Arena Omaha, NE
December 28, 2025 5:00 p.m., truTV#at Georgetown#McDonough Arena Washington, D.C.
January 1, 2026 11:00 a.m., ESPN+#at Villanova#Finneran Pavilion Villanova, PA
January 4, 2026 1:00 p.m., ESPN+#Butler#D. J. Sokol Arena Omaha, NE
January 8, 2026 7:00 p.m., truTV#at Marquette#Al McGuire Center Milwaukee, WI
January 11, 2026 1:00 p.m., truTV#UConn#CHI Health Center Omaha, NE
January 17, 2026 12:00 p.m., ESPN+#at Providence#Alumni Hall Providence, RI
January 20, 2026 6:00 p.m., ESPN+#Xavier#D. J. Sokol Arena Omaha, NE
January 25, 2026 2:00 p.m.#at DePaul#Wintrust Arena Chicago, IL
January 28, 2026 6:00 p.m., ESPN+#St. Johns#D. J. Sokol Arena Omaha, NE
February 1, 2026 2:00 p.m., truTV#at Seton Hall#Walsh Gymnasium South Orange, NJ
February 4, 2026 6:00 p.m., ESPN+#Georgetown#D. J. Sokol Arena Omaha, NE
February 8, 2026 12:00 p.m., FS1#Marquette#D. J. Sokol Arena Omaha, NE
February 11, 2026 6:00 p.m., Peacock#at UConn#Harry A. Gampel Pavilion Storrs, CT
February 15, 2026 4:00 p.m., truTV#Villanova#D. J. Sokol Arena Omaha, NE
February 18, 2026 6:00 p.m., ESPN+#at Butler#Hinkle Fieldhouse Indianapolis, IN
February 26, 2026 8:00 p.m., TNT#Providence#D. J. Sokol Arena Omaha, NE
March 1, 2026 12:00 p.m., ESPN+#at Xavier#Cintas Center Cincinnati, OH
Big East Women's Tournament#Big East Women's Tournament#Big East Women's Tournament
TBA* TBA#<NA>#<NA>
