name#number#pos.#height#weight#year#hometown#reason_for_departure
JP Pegues#1#G#6'2"#180#Senior#Nashville, TN#Graduated
Denver Jones#2#G#6'4"#205#Senior#New Market, AL#Graduated
Jahki Howard#3#F#6'6"#185#Freshman#Boston, MA#Transferred to Utah
Johni Broome#4#F/C#6'10"#240#Senior#Plant City, FL#Graduated, drafted 35th overall by the Philadelphia 76ers in 2025 NBA Draft
Chris Moore#5#F#6'6"#220#Senior#West Memphis, AR#Graduated
Ja'Heim Hudson#8#F#6'7"#230#Senior#Hinesville, GA#Graduated
Chad Baker-Mazara#10#G/F#6'7"#180#Senior#Santo Domingo, Dominican Republic#Graduated, transferred to USC
Miles Kelly#13#G#6'6"#190#Senior#Stone Mountain, GA#Graduated/undrafted, signed with the Dallas Mavericks
Presley Patterson#14#G#5'11"#180#Junior#Knoxville, TN#Transferred to Rice
Addarin Scott#23#F#6'9"#220#Senior#Dallas, TX#Transferred to Missouri-Kansas City
Chaney Johnson#31#F#6'7"#225#Senior#Alabaster, AL#Graduated
Dylan Cardwell#44#C#6'11"#255#Grad#Augusta, GA#Graduated/undrafted, signed with the Sacramento Kings
