name#number#pos.#height#year#hometown#reason_for_departure
Taliah Scott#0#G#5'9"#Sophomore#Orange, FL#Transferred to Baylor
Celia Sumbane#1#F#6'2"#Senior#Maputo, Mozambique#Graduated
Jordan Hunter#2#G#5'8"#Freshman#Trussville, AL#Transferred to Memphis
DeYona Gaston#5#F#6'2"#Graduate Student#Pearland, TX#Graduated
Yakiya Milton#7#F#6'4"#Sophomore#Jacksonville, FL#Transferred to USC
Yuting Deng#9#G#6'0"#Freshman#Hunan, China#Transferred to Baylor
Mar'shaun Bostic#12#G#5'8"#Senior#St. Louis, MO#Graduated
Taylen Collins#14#F#6'1"#Graduate Student#Muldrow, OK#Graduated
Oyindamola Akinbolawa#20#C#6'5"#Junior#Lagos, Nigeria#Transferred to Syracuse
Audia Young#21#G#5'9"#Sophomore#Tallahassee, FL#Transferred to Xavier
Savannah Scott#30#C#6'4"#Sophomore#Conway, AR#Transferred to UCF
Timya Thurman#32#C#6'5"#Sophomore#Linden, AL#Transferred to Southern Miss
