name#number#pos.#height#year#hometown#reason_for_departure
Lauryn Swann#1#G#5'7"#Freshman#Queens, NY#Transferred to Rutgers
Jada Williams#2#G#5'8"#Sophomore#Kansas City, MO#Transferred to Iowa State
Skylar Jones#4#G#6'0"#Sophomore#Chicago, IL#Transferred to Louisville
Ajae Yoakum#5#F#6'0"#Graduate Student#Portland, OR#Transferred to Portland State
Erin Tack#10#F#6'1"#Junior#Kelso, WA#Transferred back to Arizona Track and field
Sahnya Jah#11#F#6'0"#Sophomore#Alexandria, VA#Transferred to SMU
Mailien Rolf#13#G#5'10"#Freshman#Roßdorf, Germany#Transferred to SMU
Brooklyn Rhodes#14#F#6'0"#Sophomore#St. Louis, MO#Transferred
Paulina Paris#23#G#5'9"#Junior#Congers, NY#Transferred
Jorynn Ross#24#F#6'3"#Sophomore#Milwaukee, WI#Transferred to Houston
Breya Cunningham#25#F#6'4"#Sophomore#Chula Vista, CA#Transferred to Texas
Isis Beh#33#F#6'3"#Senior#Murray, UT#Transferred
Katarina Kneževic#34#F#6'0"#Freshman#Belgrade, Serbia#Transferred to SMU
