player#g#a#pts#sog#+/−#pim
Abby Roque#1#2#3#2#+3#0
Marie-Philip Poulin#1#1#2#11#+3#6
Laura Stacey#0#2#2#3#+3#2
Maggie Flaherty#1#0#1#4#+1#0
Natálie Mlýnková#1#0#1#2#–1#0
Erin Ambrose#0#1#1#4#0#0
Alexandra Labelle#0#1#1#1#0#0
Kati Tabin#0#1#1#3#+2#0
Amanda Boulier#0#0#0#1#0#4
Shiann Darkangelo#0#0#0#3#–1#0
Jessica DiGirolamo#0#0#0#2#+1#4
Catherine Dubois#0#0#0#2#0#0
Nicole Gosling#0#0#0#1#0#0
Dara Greig#0#0#0#2#0#0
Skylar Irving#0#0#0#5#0#2
Maureen Murphy#0#0#0#7#–1#0
Kelly-Ann Nadeau#0#0#0#1#0#0
Hayley Scamurra#0#0#0#1#0#2
Kaitlin Willoughby#0#0#0#0#0#0
