player#gp#g#a#pts#sog#+/−#pim
Taylor Girard#4#3#0#3#7#+2#0
Paetyn Levis#4#2#1#3#9#+3#4
Maddi Wheeler#4#0#3#3#7#+5#2
Lauren Bernard#4#0#2#2#4#+3#0
Anne Cherkowski#4#0#2#2#14#–1#2
Elle Hartje#4#0#2#2#4#+3#4
Jincy Roese#4#0#2#2#4#+2#0
Nicole Vallario#2#1#0#1#1#+1#0
Sarah Fillier#4#1#0#1#18#0#0
Kristýna Kaltounková#4#1#0#1#16#+2#19
Maja Nylén Persson#4#1#0#1#4#+2#0
Kristin O'Neill#4#1#0#1#8#+2#2
Casey O'Brien#4#0#1#1#5#–2#0
Allyson Simpson#4#0#1#1#7#+3#4
Micah Zandee-Hart#4#0#1#1#4#+1#17
Jaime Bourbonnais#2#0#0#0#2#+1#2
Anna Bargman#4#0#0#0#1#0#0
Emmy Fecteau#4#0#0#0#6#0#0
Savannah Norcross#4#0#0#0#2#0#0
Kayla Vespa#4#0#0#0#4#+1#2
