date_time,_tv_non-conference_regular_season#opponent_non-conference_regular_season#site_(attendance)_city,_state_non-conference_regular_season
November 4, 2025* 6:30 p.m., ESPN+#UT Arlington#Fertitta Center (1,025) Houston, TX
November 8, 2025* 7:00 p.m., ESPN+#UTSA#Fertitta Center (1,161) Houston, TX
November 11, 2025* 6:30 p.m., ESPN+#Rice Rivalry#Fertitta Center (1,104) Houston, TX
November 17, 2025* 6:00 p.m., ESPN+#at Stephen F. Austin#William R. Johnson Coliseum (1,182) Nacogdoches, TX
November 20, 2025* 6:30 p.m., ESPN+#at UT Rio Grande Valley#UTRGV Fieldhouse Edinburg, TX
November 23, 2025* 2:00 p.m., ESPN+#High Point#Fertitta Center Houston, TX
November 28, 2025* 12:30 p.m., FloCollege#vs. Arkansas State Nassau Championship Goombay Division semifinals#Baha Mar Convention Center Nassau, The Bahamas
November 30, 2025* 10:00 a.m./12:30 p.m., FloCollege#vs. Kent State/Tulsa Nassau Championship Goombay Division finals/3rd place#Baha Mar Convention Center Nassau, The Bahamas
December 7, 2025* 2:00 p.m., ESPN+#Southern#Fertitta Center Houston, TX
December 13, 2025* 8:00 p.m., MW Network#at New Mexico#The Pit Albuquerque, NM
December 16, 2025* 11:00 a.m., ESPN+#Montana#Fertitta Center Houston, TX
Big 12 regular season#Big 12 regular season#Big 12 regular season
December 21, 2025 1:00 p.m., ESPN+#at West Virginia#Hope Coliseum Morgantown, WV
December 31, 2025 1:00 p.m., ESPN+#Iowa State#Fertitta Center Houston, TX
January 3, 2026 3:00 p.m., ESPN+#at Oklahoma State#Gallagher-Iba Arena Stillwater, OK
January 7, 2026 6:30 p.m., ESPN+#Kansas State#Fertitta Center Houston, TX
January 10, 2026 1:00 p.m., ESPN+#BYU#Fertitta Center Houston, TX
January 13, 2026 6:00 p.m., ESPN+#at Texas Tech#United Supermarkets Arena Lubbock, TX
January 17, 2026 1:00 p.m., ESPN+#Utah#Fertitta Center Houston, TX
January 21, 2026 6:30 p.m., ESPN+#at Kansas State#Bramlage Coliseum Manhattan, KS
January 25, 2026 2:00 p.m., ESPN+#at Baylor#Foster Pavilion Waco, TX
February 1, 2026 2:00 p.m., ESPN+#Cincinnati#Fertitta Center Houston, TX
February 4, 2026 6:30 p.m., ESPN+#at TCU#Schollmaier Arena Fort Worth, TX
February 7, 2026 5:00 p.m., ESPN+#Texas Tech#Fertitta Center Houston, TX
February 11, 2026 6:30 p.m., ESPN+#Colorado#Fertitta Center Houston, TX
February 14, 2026 4:00 p.m., ESPN+#at Kansas#Allen Fieldhouse Lawrence, KS
February 18, 2026 6:30 p.m., ESPN+#TCU#Fertitta Center Houston, TX
February 21, 2026 3:00 p.m., ESPN+#at Arizona State#Desert Financial Arena Tempe, AZ
February 24, 2026 7:00 p.m., ESPN+#at Arizona#McKale Center Tucson, AZ
March 1, 2026 2:00 p.m., ESPN+#UCF#Fertitta Center Houston, TX
Big 12 Conference Tournament#Big 12 Conference Tournament#Big 12 Conference Tournament
March 4–8, 2026 TBA#vs.#T-Mobile Center Kansas City, MO
