player#gp#g#a#pts#sog#+/−#pim
Julia Gosling#3#2#1#3#12#+1#2
Hannah Bilka#3#1#2#3#5#–3#2
Hilary Knight#3#1#2#3#10#+2#0
Alex Carpenter#3#1#1#2#13#+2#0
Emily Brown#3#0#1#1#2#–1#6
Danielle Serdachny#3#0#1#1#6#0#2
Anna Wilgren#3#0#1#1#6#0#2
Aneta Tejralová#1#0#0#0#1#0#0
Lyndie Lobdell#2#0#0#0#1#–1#0
Lexie Adzija#3#0#0#0#6#–3#2
Cayla Barnes#3#0#0#0#1#–1#0
Jenna Buglioni#3#0#0#0#0#0#2
Megan Carter#3#0#0#0#0#–2#2
Jessie Eldridge#3#0#0#0#5#–2#2
Mikyla Grant-Mentis#3#0#0#0#4#–5#2
Mariah Keopple#3#0#0#0#1#–2#0
Natalie Snodgrass#3#0#0#0#0#–4#0
Marah Wagner#3#0#0#0#1#0#0
