player#gp#g#a#pts#sog#+/−#pim
Claire Thompson#4#2#1#3#5#–3#2
Abby Boreen#4#1#1#2#11#0#0
Michelle Karvinen#4#0#2#2#6#–4#0
Sarah Nurse#1#1#0#1#5#+1#0
Sophie Jaques#4#1#0#1#15#–5#0
Gabby Rosenthal#4#1#0#1#5#0#0
Michela Cava#4#0#1#1#5#–4#0
Jenn Gardiner#4#0#1#1#8#–4#0
Brooke McQuigge#4#0#1#1#4#–3#2
Hannah Miller#4#0#1#1#5#–6#0
Tereza Vanišová#4#0#1#1#3#0#0
Anna Segedi#3#0#0#0#4#–4#0
Sydney Bard#4#0#0#0#5#0#0
Ashton Bell#4#0#0#0#2#–4#0
Katie Chan#4#0#0#0#0#–2#2
Mellissa Channell-Watkins#4#0#0#0#1#–6#0
Izzy Daniel#4#0#0#0#2#–2#0
Emma Greco#4#0#0#0#1#0#15
Darcie Lappan#4#0#0#0#1#0#0
Maddy Samoskevich#4#0#0#0#0#–1#0
