name#num.#pos.#height#weight#year#hometown#reason_for_departure
Ezra Ausar#2#F#6'8"#240#Senior#Atlanta, GA#Transferred to USC
Ayomide Bamisile#21#F#6'7"#210#Freshman#Lagos, Nigeria#Transferred to
Hunter Erickson#0#G#6'3"#200#Graduate Senior#Provo, UT#Out of eligibility
Brandon Haddock#14#G#6'2"#185#Senior#Southlake, TX#Out of eligibility
Joul Karram#5#C#6'10"#225#Sophomore#Nazareth, Israel#Transferred to Utah Valley
Zach Keller#32#F#6'10"#235#Senior#Highlands Ranch, CO#Transferred to Utah State
Miro Little#1#G#6'3"#195#Junior#Tampere, Finland#Transferred to UC Santa Barbara
Caleb Lohner#11#F#6'11"#250#Graduate Senior#Flower Mound, TX#Drafted in the 7th round of the 2025 NFL Draft by the Denver Broncos
Lawson Lovering#34#C#7'1"#245#Senior#Cheyenne, WY#Out of eligibility
Gabe Madsen#55#G#6'6"#200#Graduate Senior#Rochester, MN#Out of eligibility
Mason Madsen#45#G#6'4"#195#Graduate Senior#Rochester, MN#Out of eligibility
Mike Sharavjamts#25#G#6'9"#195#Senior#Ulaanbaatar, Mongolia#Transferred to South Carolina
Brady Smith#6#G#6'1"#175#Junior#Logan, UT#Transferred to
Jake Wahlin#10#F#6'10"#210#Junior#Provo, UT#Transferred to Clemson
