date_time,_tv_non-conference_regular_season#opponent_non-conference_regular_season#result_non-conference_regular_season#record_non-conference_regular_season#site_(attendance)_city,_state_non-conference_regular_season
November 8, 2025* 1:00 pm, ESPN+#at Akron#L 69–104#0–1#James A. Rhodes Arena (1,502) Akron, OH
November 11, 2025* 7:00 pm, ESPN+#Bucknell#W 73–63#1–1#Jadwin Gymnasium (1,134) Princeton, NJ
November 13, 2025* 7:00 pm, ESPN+#John Jay#W 100–59#2–1#Jadwin Gymnasium (896) Princeton, NJ
November 15, 2025* 2:00 pm, ESPN+#at No. 25 Kansas#L 57–76#2–2#Allen Fieldhouse (15,300) Lawrence, KS
November 18, 2025* 7:00 pm, ESPN+#at Iona#L 69–89#2–3#Hynes Athletics Center (1,692) New Rochelle, NY
November 20, 2025* 7:00 pm, ESPN+#Northeastern#W 70−57#3−3#Jadwin Gymnasium Princeton, NJ
November 24, 2025* 7:00 pm, ESPNU#vs. Bradley ESPN Events Invitational Adventure Bracket quarterfinals#L 64–88#3–4#State Farm Field House (1,076) Bay Lake, FL
November 25, 2025* 7:45 p.m., ESPNU#vs. Temple ESPN Events Invitational Adventure Bracket consolation semifinals#L 75–79#3–5#State Farm Field House Bay Lake, FL
November 26, 2025* 7:30 p.m., ESPN+#vs. Vermont ESPN Events Invitational Adventure Bracket 7th place game#L 74–79#3–6#State Farm Field House Bay Lake, FL
November 30, 2025* 1:00 pm, BallerTV#vs. Saint Joseph's Jersey Jam#L 58–60#3–7#CURE Insurance Arena (1,386) Trenton, NJ
December 3, 2025* 8:00 pm, FloCollege#at Monmouth#L 58–63#3–8#OceanFirst Bank Center (1,517) West Long Branch, NJ
December 6, 2025* 1:30 pm, USA#at Loyola Chicago#<NA>#<NA>#Joseph J. Gentile Arena Chicago, IL
December 10, 2025* 5:00 pm, ESPN+#Merrimack#<NA>#<NA>#Jadwin Gymnasium Princeton, NJ
December 22, 2025* 7:00 pm, ESPN+#at Temple#<NA>#<NA>#Liacouras Center Philadelphia, PA
December 30, 2025* 1:00 pm, ESPN+#Vermont#<NA>#<NA>#Jadwin Gymnasium Princeton, NJ
Ivy League regular season#Ivy League regular season#Ivy League regular season#Ivy League regular season#Ivy League regular season
January 5, 2026 7:00 pm, ESPN+#Penn Rivalry#<NA>#<NA>#Jadwin Gymnasium Princeton, NJ
January 10, 2026 2:00 pm, ESPN+#Yale#<NA>#<NA>#Jadwin Gymnasium Princeton, NJ
January 17, 2026 2:00 pm, ESPN+#at Harvard#<NA>#<NA>#Lavietes Pavilion Boston, MA
January 19, 2026 6:00 pm, ESPN+#at Dartmouth#<NA>#<NA>#Leede Arena Hanover, NH
January 24, 2026 2:00 pm, ESPN+#Brown#<NA>#<NA>#Jadwin Gymnasium Princeton, NJ
January 30, 2026 6:00 pm, ESPN+#at Cornell#<NA>#<NA>#Newman Arena Ithaca, NY
January 31, 2026 6:00 pm, ESPN+#at Columbia#<NA>#<NA>#Levien Gymnasium New York, NY
February 7, 2026 2:00 pm, ESPN+#at Penn Rivalry#<NA>#<NA>#The Palestra Philadelphia, PA
February 13, 2026 7:00 pm, ESPN+#Cornell#<NA>#<NA>#Jadwin Gymnasium Princeton, NJ
February 14, 2026 6:00 pm, ESPN+#Columbia#<NA>#<NA>#Jadwin Gymnasium Princeton, NJ
