name#number#pos.#height#weight#year#hometown#reason_for_departure
Mike James#0#G#6'5"#200#Junior#Orlando, Florida#Transferred to Vanderbilt
Brandon Huntley-Hatfield#1#F#6'10"#240#Senior#Clarksville, Tennessee#Entered transfer portal
Dontrez Styles#3#G/F#6'8"#210#Senior#Kinston, North Carolina#Entered transfer portal
Breon Pass#4#G#6'0"#175#Senior#Reidsville, North Carolina#Entered transfer portal
Trey Parker#5#G#6'1"#165#Freshman#Fayetteville, North Carolina#Transferred to Seton Hall
Bryce Heard#7#G#6'5"#170#Freshman#Chicago, Illinois#Transferred to Dayton
Jayden Taylor#8#G#6'4"#195#Senior#Indianapolis, Indiana#Graduated
Marcus Hill#10#G#6'4"#185#Senior#Rockford, Illinois#Transferred to Texas A&M
Dennis Parker Jr.#11#G#6'6"#205#Sophomore#Richmond, Virginia#Transferred to Radford
Michael O'Connell#12#G#6'2"#195#Graduate Student#Mineola, New York#Graduated
KJ Keats#13#G#5'10"#165#Junior#Cary, North Carolina#<NA>
Ernest Ross#24#F#6'9"#200#Senior#Alachua, Florida#Graduated
Ismaël Diouf#33#F#6'9"#215#Junior#Saint-Jean-sur-Richelieu, Quebec#Transferred to Northern Iowa
Ben Middlebrooks#34#F#6'10"#240#Senior#Fort Lauderdale, Florida#Graduated
