date_time,_tv_regular_season#opponent_regular_season#site_(attendance)_city,_state_regular_season
November 3, 2025* 7:00 pm, ESPN+#Nobel#Premier America Credit Union Arena (725) Northridge, CA
November 6, 2025* 5:00 pm, ESPN+#at Northern Iowa#McLeod Center (3,173) Cedar Falls, IA
November 9, 2025* 11:00 am, SLN#at North Dakota#Betty Engelstad Sioux Center (1,479) Grand Forks, ND
November 11, 2025* 5:00 pm, SLN#at North Dakota State#Scheels Center (1,005) Fargo, ND
November 16, 2025* 5:00 pm, ESPN+#Troy#Premier America Credit Union Arena (659) Northridge, CA
November 26, 2025* 6:00 pm, ESPN+#vs. Idaho Holiday Hoops Classic#Idaho Central Arena Boise, ID
November 28, 2025* 3:30 pm, ESPN+#vs. Idaho State Holiday Hoops Classic#Idaho Central Arena Boise, ID
December 4, 2025 7:00 pm, ESPN+#Cal State Bakersfield#Premier America Credit Union Arena Northridge, CA
December 6, 2025 7:00 pm, ESPN+#at UC Irvine#Bren Events Center Irvine, CA
December 10, 2025* 7:00 pm, ESPN+#Fresno State#Premier America Credit Union Arena Northridge, CA
December 13, 2025* 10:00 am, ESPN+#at Delaware#Bob Carpenter Center Newark, DE
December 19, 2025* 3:00 pm, ESPN+#La Sierra#Premier America Credit Union Arena Northridge, CA
December 22, 2025* 7:00 pm, ESPN+#Sacramento State#Premier America Credit Union Arena Northridge, CA
December 27, 2025* 5:00 pm, ACCNX#at Stanford#Maples Pavilion Stanford, CA
January 1, 2026 6:00 pm, ESPN+#at UC Davis#University Credit Union Center Davis, CA
January 3, 2026 1:00 pm, ESPN+/SSN#UC Santa Barbara#Premier America Credit Union Arena Northridge, CA
January 8, 2026 7:00 pm, ESPN+#Cal Poly#Premier America Credit Union Arena Northridge, CA
January 10, 2026 5:00 pm, ESPN+#at Cal State Fullerton#Titan Gym Fullerton, CA
January 15, 2026 7:00 pm, ESPN+#at UC San Diego#LionTree Arena La Jolla, CA
January 17, 2026 5:00 pm, ESPN+#Long Beach State#Premier America Credit Union Arena Northridge, CA
January 24, 2026 9:00 pm, ESPN+#at Hawai'i#Stan Sheriff Center Honolulu, HI
January 29, 2026 7:00 pm, ESPN+#UC Davis#Premier America Credit Union Arena Northridge, CA
January 31, 2026 5:00 pm, ESPN+#UC San Diego#Premier America Credit Union Arena Northridge, CA
February 5, 2026 7:00 pm, ESPN+#at Cal Poly#Mott Athletics Center San Luis Obispo, CA
February 7, 2026 1:00 pm, ESPN+/SSN#UC Riverside#Premier America Credit Union Arena Northridge, CA
February 14, 2026 5:00 pm, ESPN+#Hawai'i#Premier America Credit Union Arena Northridge, CA
February 19, 2026 7:00 pm, ESPN+#at UC Santa Barbara#The Thunderdome Santa Barbara, CA
February 21, 2026 6:00 pm, ESPN+#at Long Beach State#Walter Pyramid Long Beach, CA
February 26, 2026 7:00 pm, ESPN+#UC Irvine#Premier America Credit Union Arena Northridge, CA
February 28, 2026 5:00 pm, ESPN+#at UC Riverside#SRC Arena Riverside, CA
March 5, 2026 6:30 pm, ESPN+#at Cal State Bakersfield#Icardo Center Bakersfield, CA
