unnamed:_1_level_0_player#2025_challenge_tour_points_rank#2025_challenge_tour_points
J. C. Ritchie#1#1674
David Law#2#1494
Maximilian Steinlechner*#3#1477
Renato Paratore#4#1427
Oïhan Guillamoundeguy*#5#1292
James Morrison#6#1100
Filippo Celli#7#1090
Stefano Mazzoli*#8#1077
Daniel van Tonder#9#1053
Sebastián García Rodríguez#10#1040
Daniel Young†#11#1040
Félix Mory*#12#1032
Joshua Berry#13#1022
Euan Walker†#14#886
Quim Vidal*#15#826
Hugo Townsend*#16#794
Tobias Jonsson*#17#775
Rocco Repetto*#18#756
Clément Charmasson*#19#704
Albin Bergström*#20#683
