date_time,_tv_exhibition#opponent_exhibition#site_(attendance)_city,_state_exhibition
November 1, 2025* 1:00 p.m.#Point Loma#Gold Mine (452) Long Beach, CA
Regular season#Regular season#Regular season
November 7, 2025* 5:30 p.m., MWN#at Wyoming#Arena-Auditorium (1,974) Laramie, WY
November 9, 2025* 12:00 p.m., MWN#at Colorado State#Moby Arena Fort Collins, CO
November 12, 2025* 6:00 p.m., ESPN+#California Baptist#Walter Pyramid (628) Long Beach, CA
November 15, 2025* 2:00 p.m., ESPN+#Sacramento State#Walter Pyramid (612) Long Beach, CA
November 20, 2025* 6:00 p.m., ESPN+#San Francisco#Walter Pyramid (511) Long Beach, CA
November 23, 2025* 1:00 p.m., ESPN+#at Oregon State#Gill Coliseum Corvallis, OR
December 4, 2025 6:00 p.m., ESPN+#UC Santa Barbara#Walter Pyramid Long Beach, CA
December 6, 2025 1:00 p.m., ESPN+#at UC San Diego#LionTree Arena La Jolla, CA
December 11, 2025* 6:00 p.m., ESPN+#Portland#Walter Pyramid Long Beach, CA
December 20, 2025* 2:00 p.m., B1G+#at UCLA#Pauley Pavilion Los Angeles, CA
December 22, 2025* 12:00 p.m., ESPN+#Toledo#Walter Pyramid Long Beach, CA
December 29, 2025* 6:00 p.m., ESPN+#Hope International#Walter Pyramid Long Beach, CA
January 3, 2026 2:00 p.m., ESPN+#at Cal Poly#Mott Athletics Center San Luis Obispo, CA
January 8, 2026 6:00 p.m., ESPN+#UC Irvine#Walter Pyramid Long Beach, CA
January 10, 2026 2:00 p.m., ESPN+#at Cal State Bakersfield#Icardo Center Bakersfield, CA
January 15, 2026 6:00 p.m., ESPN+#at UC Riverside#SRC Arena Riverside, CA
January 17, 2026 2:00 p.m., ESPN+#Cal State Northridge#Walter Pyramid Long Beach, CA
January 22, 2026 6:00 p.m., ESPN+#Cal State Fullerton#Walter Pyramid Long Beach, CA
January 24, 2026 1:00 p.m., ESPN+#at UC Santa Barbara#The Thunderdome Santa Barbara, CA
January 29, 2026 6:00 p.m., ESPN+#UC Riverside#Walter Pyramid Long Beach, CA
January 31, 2026 9:00 p.m., ESPN+#at Hawaii#Stan Sheriff Center Honolulu, HI
February 5, 2026 6:00 p.m., ESPN+#UC San Diego#Walter Pyramid Long Beach, CA
February 12, 2026 7:00 p.m., ESPN+#at Cal State Fullerton#Titan Gym Fullerton, CA
February 14, 2026 2:00 p.m., ESPN+#UC Davis#Walter Pyramid Long Beach, CA
February 19, 2026 6:00 p.m., ESPN+#at UC Irvine#Bren Events Center Irvine, CA
February 21, 2026 2:00 p.m., ESPN+#at Cal State Northridge#PACU Arena Northridge, CA
February 26, 2026 6:00 p.m., ESPN+#Cal Poly#Walter Pyramid Long Beach, CA
February 28, 2026 2:00 p.m., ESPN+#Cal State Bakersfield#Walter Pyramid Long Beach, CA
March 5, 2026 6:00 p.m., ESPN+#at UC Davis#University Credit Union Center Davis, CA
March 7, 2026 2:00 p.m., ESPN+#Hawaii#Walter Pyramid Long Beach, CA
