date_time,_tv_exhibition#opponent_exhibition#site_(attendance)_city,_state_exhibition
October 27, 2025* 7:00 p.m.#Claremont-Mudd-Scripps#Titan Gym Fullerton, CA
Regular season#Regular season#Regular season
November 4, 2025* 7:00 p.m., ESPN+#Pepperdine#Titan Gym (336) Fullerton, CA
November 9, 2025* 2:00 p.m., ESPN+#Cleveland State#Titan Gym (262) Fullerton, CA
November 12, 2025* 7:00 p.m., ESPN+#Hope International#Titan Gym (235) Fullerton, CA
November 16, 2025* 12:00 p.m., ESPN+#at Denver#Hamilton Gymnasium (343) Denver, CO
November 21, 2025* 6:30 p.m., ESPN+#at Sacramento State#Hornets Nest Sacramento, CA
November 23, 2025* 2:00 p.m., ESPN+#at Pacific#Alex G. Spanos Center Stockton, CA
November 29, 2025* 5:00 p.m., ESPN+#Loyola Marymount#Titan Gym Fullerton, CA
December 4, 2025 6:00 p.m., ESPN+#at Cal Poly#Mott Athletics Center San Luis Obispo, CA
December 6, 2025 1:00 p.m., ESPN+#Hawaii#Titan Gym Fullerton, CA
December 13, 2025* 2:00 p.m., ESPN+#Portland State#Titan Gym Fullerton, CA
December 20, 2025* 3:00 p.m., ESPN+#at San Diego#Jenny Craig Pavilion San Diego, CA
December 28, 2025* 2:00 p.m., ESPN+#La Sierra#Titan Gym Fullerton, CA
January 1, 2026 2:00 p.m., ESPN+#at UC Santa Barbara#The Thunderdome Santa Barbara, CA
January 3, 2026 2:00 p.m., ESPN+#at UC Irvine#Bren Events Center Irvine, CA
January 8, 2026 7:00 p.m., ESPN+#UC San Diego#Titan Gym Fullerton, CA
January 10, 2026 2:00 p.m., ESPN+#at Cal State Northridge#PACU Arena Northridge, CA
January 15, 2026 7:00 p.m., ESPN+#UC Davis#Titan Gym Fullerton, CA
January 17, 2026 2:00 p.m., ESPN+#UC Riverside#Titan Gym Fullerton, CA
January 22, 2026 6:00 p.m., ESPN+#at Long Beach State#Walter Pyramid Long Beach, CA
January 24, 2026 2:00 p.m., ESPN+#Cal Poly#Titan Gym Fullerton, CA
January 31, 2026 2:00 p.m., ESPN+#UC Santa Barbara#Titan Gym Fullerton, CA
February 5, 2026 6:00 p.m., ESPN+#at UC Riverside#SRC Arena Riverside, CA
February 7, 2026 2:00 p.m., ESPN+#at Cal State Bakersfield#Icardo Center Bakersfield, CA
February 12, 2026 7:00 p.m., ESPN+#Long Beach State#Titan Gym Fullerton, CA
February 14, 2026 2:00 p.m., ESPN+#UC Irvine#Titan Gym Fullerton, CA
February 19, 2026 6:00 p.m., ESPN+#at UC Davis#University Credit Union Center Davis, CA
February 21, 2026 2:00 p.m., ESPN+#Cal State Bakersfield#Titan Gym Fullerton, CA
February 28, 2026 9:00 p.m., ESPN+#at Hawaii#Stan Sheriff Center Honolulu, HI
March 5, 2026 6:00 p.m., ESPN+#at UC San Diego#LionTree Arena La Jolla, CA
March 7, 2026 2:00 p.m., ESPN+#Cal State Northridge#Titan Gym Fullerton, CA
