pos#rider#bike#inv#inv.1#inv.2#bal#bal.1#bal.2#points
1#Hayden Draper#Yamaha#1#5#1#1#4#9#121
2#Caleb Ward#KTM#13#1#4#3#1#1#121
3#James Scott#Yamaha#2#2#3#8#3#3#117
4#Alexander Brown#Husqvarna#3#3#2#7#5#2#114
5#Jack Ellingham#Honda#6#4#12#10#2#6#90
6#Cody Cooper#Gas Gas#15#6#7#5#8#4#82
7#Rian King#Honda#7#10#8#6#9#7#79
8#Cody Griffiths#Yamaha#5#9#13#9#13#5#72
9#Jared Hannon#KTM#8#7#5#14#14#10#68
10#Mitch Weir#Husqvarna#4#12#10#15#12#12#62
11#Madoc Dixon#Kawasaki#28#8#9#2#7#Ret#61
12#Luke Heaphy#KTM#12#11#11#12#11#8#61
13#Maz Parkes#Kawasaki#14#17#14#4#10#13#55
14#Wills Harvey#Yamaha#9#13#6#16#6#25#55
15#Cooper Phillips#KTM#10#14#15#11#17#11#48
16#Curtis King#Honda#11#19#17#13#15#14#37
17#Ryan Hayward#Gas Gas#16#15#19#18#18#15#25
18#Alex Garland#KTM#17#18#16#17#19#16#23
19#Tyler Steiner#Yamaha#18#16#18#Ret#16#Ret#16
20#Taylor Thompson#KTM#20#21#25#19#20#19#6
21#Ethan Raynel#KTM#25#25#20#21#21#17#5
22#Yanni Emerson-Rae#KTM#22#22#23#24#23#18#3
23#Kolby Brookland#Yamaha#Ret#20#21#20#22#20#3
24#Connor Bond#Kawasaki#19#Ret#DNS#<NA>#<NA>#<NA>#2
<NA>#Michael Buchanan#Honda#23#23#22#22#25#21#0
<NA>#Ashton Whyte#Kawasaki#21#24#24#23#DNS#DNS#0
<NA>#Riley Caird#Honda#24#26#26#25#24#22#0
<NA>#Riley Soutar#Kawasaki#27#28#28#26#27#23#0
<NA>#Bradley Hamburger#Kawasaki#26#27#27#27#26#24#0
Pos#Rider#Bike#INV#INV#INV#BAL#BAL#BAL#Points
