date_time,_tv_regular_season#opponent_regular_season#site_(attendance)_city,_state_regular_season
November 3, 2025* 7:15 p.m., ESPN+#at Xavier#Cintas Center (9,776) Cincinnati, OH
November 9, 2025* 2:00 p.m., ESPN+#at Dartmouth#Leede Arena (894) Hanover, NH
November 12, 2025* 7:00 p.m., ESPN+#Vassar#McCann Arena (1,653) Poughkeepsie, NY
November 16, 2025* 5:00 p.m., ESPN+#Harvard#McCann Arena (1,884) Poughkeepsie, NY
November 21, 2025* 7:00 p.m., ESPN+#Army#McCann Arena (1,920) Poughkeepsie, NY
November 25, 2025* 7:00 p.m., ESPN+#Lehigh#McCann Arena (790) Poughkeepsie, NY
December 5, 2025 7:00 p.m., ESPN+#Mount St. Mary's#McCann Arena Poughkeepsie, NY
December 7, 2025 2:00 p.m., ESPN+#Manhattan#McCann Arena Poughkeepsie, NY
December 13, 2025* 4:00 p.m., ESPN+#at Bryant#Chace Athletic Center Smithfield, RI
December 16, 2025* 7:30 p.m., ACCNX#at Georgia Tech#McCamish Pavilion Atlanta, GA
December 21, 2025* 1:00 p.m., ESPN+#Stony Brook#McCann Arena Poughkeepsie, NY
December 29, 2025 4:00 p.m., ESPN+#at Quinnipiac#M&T Bank Arena Hamden, CT
January 2, 2026 7:00 p.m., ESPN+#at Saint Peter's#Run Baby Run Arena Jersey City, NJ
January 4, 2026 2:00 p.m., ESPN+#Iona#McCann Arena Poughkeepsie, NY
January 9, 2026 7:00 p.m., ESPN+#at Sacred Heart#William H. Pitt Center Fairfield, CT
January 11, 2026 2:00 p.m., ESPN+#at Rider#Alumni Gymnasium Lawrenceville, NJ
January 17, 2026 2:00 p.m., ESPN+#Fairfield#McCann Arena Poughkeepsie, NY
January 19, 2026 2:00 p.m., ESPN+#Merrimack#McCann Arena Poughkeepsie, NY
January 22, 2026 7:00 p.m., ESPN+#at Siena#MVP Arena Albany, NY
January 24, 2026 1:00 p.m., ESPN+#Quinnipiac#McCann Arena Poughkeepsie, NY
January 30, 2026 7:00 p.m., ESPN+#at Canisius#Koessler Athletic Center Buffalo, NY
February 1, 2026 2:00 p.m., ESPN+#at Niagara#Gallagher Center Niagara Falls, NY
February 5, 2026 7:00 p.m., ESPN+#Rider#McCann Arena Poughkeepsie, NY
February 7, 2026 7:00 p.m., ESPN+#at Fairfield#Leo D. Mahoney Arena Fairfield, CT
February 12, 2026 7:00 p.m., ESPN+#at Merrimack#Hammel Court North Andover, MA
February 15, 2026 2:00 p.m., ESPN+#Siena#McCann Arena Poughkeepsie, NY
February 20, 2026 7:00 p.m., ESPN+#at Manhattan#Draddy Gymnasium Riverdale, NY
February 22, 2026 2:00 p.m., ESPN+#Sacred Heart#McCann Arena Poughkeepsie, NY
March 1, 2026 2:00 p.m., ESPN+#Saint Peter's#McCann Arena Poughkeepsie, NY
MAAC tournament#MAAC tournament#MAAC tournament
March 5–10, 2026#vs.#Boardwalk Hall Atlantic City, NJ
