date_time,_tv_regular_season#opponent_regular_season#site_(attendance)_city,_state_regular_season
November 3, 2025* 11:00 a.m., ESPN+#Winthrop#Al McGuire Center (3,750) Milwaukee, WI
November 8, 2025* 2:00 p.m., ESPN+#Wisconsin#Al McGuire Center (1,633) Milwaukee, WI
November 11, 2025* 7:00 p.m., B1G+#at Minnesota#Williams Arena (2,999) Minneapolis, MN
November 14, 2025* 6:30 p.m., ESPN+#Bowling Green#Al McGuire Center (1,112) Milwaukee, WI
November 19, 2025* 6:00 p.m., ESPN+#Milwaukee#Al McGuire Center (822) Milwaukee, WI
November 28, 2025* 10:00 a.m., FloHoops#vs. No. 10 Iowa State Coconut Hoops Blue Heron Division semifinals#Alico Arena (553) Fort Myers, FL
November 30, 2025* 10:00 a.m., FloHoops#vs. Gonzaga Coconut Hoops Blue Heron Division Consolation Game#Alico Arena Fort Myers, FL
December 4, 2025 8:00 p.m., Peacock#at DePaul#Wintrust Arena Chicago, IL
December 7, 2025 3:00 p.m., ESPN+#Butler#Al McGuire Center Milwaukee, WI
December 14, 2025* 1:00 p.m., ESPN+#Le Moyne#Al McGuire Center Milwaukee, WI
December 17, 2025 6:00 p.m., Peacock#at UConn#PeoplesBank Arena Hartford, CT
December 20, 2025* 7:00 p.m., ESPN+#Truman State#Al McGuire Center Milwaukee, WI
December 29, 2025 6:30 p.m., ESPN+#St. John's#Al McGuire Center Milwaukee, WI
January 1, 2026 7:00 p.m., ESPN+#at Xavier#Cintas Center Cincinnati, OH
January 4, 2026 3:00 p.m., Peacock#Villanova#Al McGuire Center Milwaukee, WI
January 8, 2026 7:00 p.m., TruTV#Creighton#Al McGuire Center Milwaukee, WI
January 14, 2026 7:00 p.m., ESPN+#at Seton Hall#Walsh Gymnasium South Orange, NJ
January 17, 2026 7:00 p.m., ESPN+#Georgetown#Al McGuire Center Milwaukee, WI
January 21, 2026 7:00 p.m., Peacock#at St. John's#Carnesecca Arena Queens, NY
January 25, 2026 7:00 p.m., ESPN+#at Butler#Hinkle Fieldhouse Indianapolis, IN
January 28, 2026 6:30 p.m.#DePaul#Al McGuire Center Milwaukee, WI
February 1, 2026 4:00 p.m., TruTV#at Georgetown#CareFirst Arena Washington, D.C.
February 4, 2026 6:30 p.m., ESPN+#Providence#Al McGuire Center Milwaukee, WI
February 8, 2026 12:00 p.m., FS1#at Creighton#Al McGuire Center Milwaukee, WI
February 11, 2026 6:30 p.m., ESPN+#Seton Hall#Al McGuire Center Milwaukee, WI
February 14, 2026 12:00 p.m., FS1#UConn#Al McGuire Center Milwaukee, WI
February 22, 2026 2:30 p.m., Peacock#at Villanova#Finneran Pavilion Villanova, PA
February 25, 2026 6:30 p.m., ESPN+#Xavier#Al McGuire Center Milwaukee, WI
March 1, 2026 4:30 p.m., Peacock#at Providence#Alumni Hall Providence, RI
Big East tournament#Big East tournament#Big East tournament
March 6, 2026 TBA, Peacock#<NA>#Al McGuire Center Milwaukee, WI
