date_time,_tv_regular_season#opponent_regular_season#site_(attendance)_city,_state_regular_season
November 3, 2025* 7:30 pm, ESPN+#at Seton Hall#Prudential Center (6,312) Newark, NJ
November 8, 2025* 2:00 pm, ESPN+#Fairleigh Dickinson#Run Baby Run Arena (575) Jersey City, NJ
November 12, 2025* 7:00 pm, ESPN+#at VCU#Stuart C. Siegel Center (7,637) Richmond, VA
November 18, 2025* 7:00 pm, ESPN+#at Delaware#Bob Carpenter Center (1,600) Newark, DE
November 22, 2025* 2:00 pm, ESPN+#UMass Lowell#Run Baby Run Arena (553) Jersey City, NJ
November 29, 2025* 2:00 pm, ESPN+#Dartmouth#Run Baby Run Arena (430) Jersey City, NJ
December 5, 2025 7:00 pm, ESPN+#Canisius#Rum Baby Run Arena Jersey City, NJ
December 7, 2025 2:00 pm, ESPN+#Niagara#Run Baby Run Arena Jersey City, NJ
December 13, 2025* 2:30 pm, ESPN+#at Georgetown#Capital One Arena Washington, DC
December 22, 2025* 12:00 pm, ESPN+#Centenary University#Run Baby Run Arena Jersey City, NJ
December 29, 2025 7:00 pm, ESPN+#Fairfield#Leo D. Mahoney Arena Fairfield, CT
January 2, 2026 7:00 pm, ESPN+#Niagara#Run Baby Run Arena Jersey City, NJ
January 9, 2026 7:00 pm, ESPN+#at Mount St. Mary's#Knott Arena Emmitsburg, MD
January 11, 2026 2:00 pm, ESPN+#Merrimack#Run Baby Run Arena Jersey City, NJ
January 14, 2026 7:00 pm, ESPN+#at Quinnipiac#M&T Bank Arena Hamden, CT
January 17, 2026 2:00 pm, ESPN+#Rider#Run Baby Run Arena Jersey City, NJ
January 19, 2026 2:00 pm, ESPN+#Iona#Run Baby Run Arena Jersey City, NJ
January 24, 2026 2:00 pm, ESPN+#at Merrimack#Merrimack Athletics Complex North Andover, MA
January 30, 2026 7:00 pm, ESPN+#Mount St. Mary's#Run Baby Run Arena Jersey City, NJ
February 1, 2026 2:00 pm, ESPN+#at Rider#Alumni Gymnasium Lawrenceville, NJ
February 5, 2026 7:00 pm, ESPN+#at Manhattan#Draddy Gymnasium Riverdale, NY
February 7, 2026 2:00 pm, ESPN+#Siena#Run Baby Run Arena Jersey City, NJ
February 13, 2026 7:00 pm, ESPN+#at Sacred Heart#William H. Pitt Center Fairfield, CT
February 15, 2026 2:00 pm, ESPN+#Fairfield#Run Baby Run Arena Jersey City, NJ
February 20, 2026 7:00 pm, ESPN+#at Iona#Hynes Athletic Center New Rochelle, NY
February 22, 2026 2:00 pm, ESPN+#at Siena#MVP Arena Albany, NY
February 27, 2026 7:00 pm, ESPN+#Manhattan#Run Baby Run Arena Jersey City, NJ
March 1, 2026 2:00 pm, ESPN+#at Marist#McCann Arena Poughkeepsie, NY
