date_time,_tv_non-conference_regular_season#opponent_non-conference_regular_season#site_(attendance)_city,_state_non-conference_regular_season
November 3, 2025* 8:50 p.m., ESPN+#at South Florida#Yuengling Center (6,531) Tampa, FL
November 8, 2025* 1:00 p.m., SWAC TV#Kennesaw State#Al Lawson Center (704) Tallahassee, FL
November 11, 2025* 7:00 p.m., ESPN+#at UCF#Addition Financial Arena (10,057) Orlando, FL
November 17, 2025* 6:30 p.m., SECN#at Georgia#Stegeman Coliseum (5,971) Athens, GA
December 2, 2025* 7:00 p.m., ESPN+#at Jacksonville#Swisher Gymnasium (862) Jacksonville, FL
December 5, 2025* TBD#vs. Barber–Scotia ESPN HBCU Hoops Invitational Semifinals#State Farm Field House Orlando, FL
December 7, 2025* TBD#vs. Florida Memorial/Tuskegee ESPN HBCU Hoops Invitational Semifinals#State Farm Field House Orlando, FL
December 17, 2025* 7:00 p.m.#Jacksonville#Al Lawson Center Tallahassee, FL
December 19, 2025* 8:00 p.m., ESPN+#at Tarleton#EECU Center Stephenville, TX
December 21, 2025* 4:00 p.m., ESPN+#at TCU#Schollmaier Arena Fort Worth, TX
December 28, 2025* 7:00 p.m., ACCNX#at Georgia Tech#McCamish Pavilion Atlanta, GA
SWAC regular season#SWAC regular season#SWAC regular season
January 3, 2026 5:30 p.m.#at Bethune–Cookman#Moore Gymnasium Daytona Beach, FL
January 10, 2026 TBD#Southern#Al Lawson Center Tallahassee, FL
January 12, 2026 TBD#Grambling State#Al Lawson Center Tallahassee, FL
January 17, 2026 TBD#at Arkansas–Pine Bluff#H.O. Clemmons Arena Pine Bluff, AR
January 19, 2026 8:00 p.m.#at Mississippi Valley State#Harrison HPER Complex Itta Bena, MS
January 24, 2026 TBD#Alcorn State#Al Lawson Center Tallahassee, FL
January 26, 2026 TBD#Jackson State#Al Lawson Center Tallahassee, FL
January 31, 2026 5:00 p.m.#at Alabama A&M#AAMU Event Center Huntsville, AL
February 2, 2026 7:00 p.m.#at Alabama State#Dunn–Oliver Acadome Montgomery, AL
February 7, 2026 TBD#Texas Southern#Al Lawson Center Tallahassee, FL
February 9, 2026 TBD#Prairie View A&M#Al Lawson Center Tallahassee, FL
February 14, 2026 4:00 p.m.#at Jackson State#Williams Assembly Center Jackson, MS
February 16, 2026 TBD#at Alcorn State#Davey Whitney Complex Lorman, MS
February 19, 2026 7:30 p.m.#Alabama A&M#Al Lawson Center Tallahassee, FL
February 21, 2026 TBD#Alabama State#Al Lawson Center Tallahassee, FL
February 26, 2026 TBD#at Southern#F. G. Clark Center Baton Rouge, LA
February 28, 2026 7:30 p.m.#at Grambling State#Fredrick C. Hobdy Assembly Center Grambling, LA
March 5, 2026 TBD#Bethune–Cookman#Al Lawson Center Tallahassee, FL
SWAC tournament#SWAC tournament#SWAC tournament
March 9–12, 2026#vs.#Gateway Center Arena College Park, GA
