name#number#pos.#height#year#hometown#reason_for_departure
Ryan Wade#15#G#6'2"#RS Senior#Ann Arbor, MI#Graduated
Mouhamadou Cissé#77#C#6'10"#Sophomore#Dakar, Senegal#Transferred to UT Permian Basin (DII)
Jeremiah Johnson#3#G#6'3"#Freshman#Phoenix, AZ#Transferred to Campbell
Donovan Santoro#7#F#6'8"#Sophomore#Los Angeles, CA#Transferred to St. Edward's (DII)
Bennett Basich#8#G#6'4"#Freshman#Hartland, WI#Transferred to Northern Michigan (DII)
Ben Tweedy#6#G#6'2"#Freshman#Southport, Queensland#Transferred to Colgate
Ayden Goll#1#G#6'2"#Freshman#Milton, WI#Transferred to Wheeling (DII)
Anthony Roy#9#G#6'5"#Senior#Oakland, CA#Transferred to Oklahoma State
Foster Wonders#0#G#6'5"#RS Junior#Iron Mountain, MI#Transferred to Cleveland State
Yonatan Levy#34/40#F#6'9"#Freshman#Hod HaSharon, Israel#Transferred to Pepperdine
Roee Oselka#31#F/C#6'10"#Freshman#Givatayim, Israel#Transferred to Howard College (JUCO)
