ambassador#ambassador.1#term#nominated_by#appointed_by#accredited_to
1#José Luis Blanco-Briones y de Cuéllar[a]#10 September 1981[8] – 22 July 1985†[2] (3 years, 315 days)#José Pedro Pérez-Llorca#Juan Carlos I#Canaan Banana
2#Nabor Manuel García García[a]#23 January 1986[9] – 11 June 1988 (2 years, 140 days)#Francisco Fernández Ordóñez#Juan Carlos I#Canaan Banana
3#José Manuel Paz Agüeras [es][b]#16 July 1988[10] – 6 June 1992 (3 years, 326 days)#Francisco Fernández Ordóñez#Juan Carlos I#Robert Mugabe
4#Jesús Carlos Riosalido Gambotti[b]#8 June 1992[11] – 18 January 1997 (4 years, 224 days)#Francisco Fernández Ordóñez#Juan Carlos I#Robert Mugabe
5#Tomás Solís Gragera[c]#18 January 1997[12] – 23 June 2001 (4 years, 156 days)#Abel Matutes#Juan Carlos I#Robert Mugabe
6#Francisco Javier Sandomingo [es][c]#23 June 2001[13] – 8 May 2004 (3 years, 106 days)#Josep Piqué#Juan Carlos I#Robert Mugabe
7#Santiago Martínez-Caro de la Concha-Castañeda [es][c]#2 October 2004[14] – 10 November 2008 (4 years, 39 days)#Miguel Ángel Moratinos#Juan Carlos I#Robert Mugabe
8#Pilar Fuertes Ferragut[c]#10 November 2008[15] – 2 April 2012†[16] (3 years, 144 days)#Miguel Ángel Moratinos#Juan Carlos I#Robert Mugabe
Embassy closed during this period.#Embassy closed during this period.#Embassy closed during this period.#Embassy closed during this period.#Embassy closed during this period.#Embassy closed during this period.
9#Alicia Moral Revilla [es][c]#25 April 2015[17] – 4 August 2018 (3 years, 101 days)#José Manuel García-Margallo#Felipe VI#Robert Mugabe
10#Santiago Gómez-Acebo Rodríguez-Spiteri[c]#9 November 2018[18] – 27 July 2022 (3 years, 260 days)#Josep Borrell#Felipe VI#Emmerson Mnangagwa
11#Natividad Isabel Peña Bonilla [es][c]#27 July 2022[19] – 16 July 2025 (2 years, 359 days)#José Manuel Albares#Felipe VI#Emmerson Mnangagwa
12#Francisco Javier Pagalday [es][c]#2 July 2025[20] – present (155 days)#José Manuel Albares#Felipe VI#Emmerson Mnangagwa
