stanley[5][6]_list#stanley[5][6]_list.1#stanley[5][6]_candidates#stanley[5][6]_votes#stanley[5][6]_of_total_(%)#stanley[5][6]_±_from_prev.
<NA>#Nonpartisan#Lewis Clifton#844#14.10%#<NA>
<NA>#Nonpartisan#Dean Dent#701#11.71%#<NA>
<NA>#Nonpartisan#Cheryl Roberts#694#11.59%#<NA>
<NA>#Nonpartisan#Stacy Bragger#635#10.61%#0.41
<NA>#Nonpartisan#Roger Spink#555#9.27%#5.3
<NA>#Nonpartisan#Leona Vidal#520#8.69%#9.0
<NA>#Nonpartisan#Lee Summers#422#7.05%#<NA>
<NA>#Nonpartisan#Glenn Ross#406#6.78%#<NA>
<NA>#Nonpartisan#Mark Pollard#323#5.40%#6.2
<NA>#Nonpartisan#Gary Webb#243#4.06%#<NA>
<NA>#Nonpartisan#Gavin Short#228#3.81%#6.44
<NA>#Nonpartisan#Clovis Kilmartin#136#2.27%#<NA>
<NA>#Nonpartisan#Grant Budd#128#2.14%#<NA>
<NA>#Nonpartisan#Pete Biggs#93#1.55%#10.47
<NA>#Nonpartisan#Christopher Clarke#58#0.97%#<NA>
Total valid votes#Total valid votes#Total valid votes#5987#99.98%#<NA>
Rejected ballots#Rejected ballots#Rejected ballots#1#0.02%#<NA>
Turnout#Turnout#Turnout#1295#81.4%#3.8
Registered electors#Registered electors#Registered electors#1590#<NA>#<NA>
