ep._ep._ep.#original_broadcast_date_original_broadcast_date_original_broadcast_date#average_audience_share_(nielsen_korea)[7][8]_nationwide#average_audience_share_(nielsen_korea)[7][8]_seoul
1#December 19, 2025#2.155% (7th)#2.228% (5th)
2#December 19, 2025#1.5% (7th)#—N/a
3#December 26, 2025#1.9% (12th)#1.738% (10th)
4#December 26, 2025#1.8% (12th)#—N/a
5#January 2, 2025#1.76% (16th)#1.970% (10th)
6#January 2, 2025#1.1% (16th)#—N/a
7#January 9, 2026#1.78% (11th)#1.868% (8th)
8#January 9, 2026#1.27% (11th)#—N/a
9#January 16, 2026#<NA>#<NA>
10#January 16, 2026#<NA>#<NA>
11#January 23, 2026#<NA>#<NA>
12#January 23, 2026#<NA>#<NA>
Average#Average#<NA>#<NA>
