ep._ep.#original_broadcast_date_original_broadcast_date#average_audience_share_(nielsen_korea)[33]_nationwide#average_audience_share_(nielsen_korea)[33]_seoul
1#December 6, 2025#4.451% (1st)#4.136% (1st)
2#December 7, 2025#6.180% (1st)#6.017% (1st)
3#December 13, 2025#5.015% (1st)#5.067% (1st)
4#December 14, 2025#8.032% (1st)#8.148% (1st)
5#December 20, 2025#4.026% (1st)#4.010% (1st)
6#December 21, 2025#7.877% (1st)#7.438% (1st)
7#December 27, 2025#6.095% (1st)#6.154% (1st)
8#December 28, 2025#9.096% (1st)#9.486% (1st)
9#January 3, 2026#6.014% (1st)#6.025% (1st)
10#January 4, 2026#8.616% (1st)#8.608% (1st)
11#January 10, 2026#<NA>#<NA>
12#January 11, 2026#<NA>#<NA>
Average#Average#<NA>#<NA>
