rank#athlete#country#time_(m:s)
<NA>#Maria Forero#Spain#19:59
<NA>#Ilona Mononen#Finland#20:04
<NA>#Pia Schlattmann#Germany#20:23
4.0#Lisa Merkel#Germany#20:25
5.0#Julia David-Smith#France#20:37
6.0#Marta Serrano#Spain#20:38
7.0#Camille Place#France#20:38
8.0#Lucia Arnoldo#Italy#20:54
9.0#Nélie Clément#France#20:55
10.0#Julia Rosén#Sweden#20:56
11.0#Kirsty Maher#Ireland#20:57
12.0#Greta Settino#Italy#20:59
13.0#Emily Parker#Great Britain#21:03
14.0#Kira Weis#Germany#21:08
15.0#Katarzyna Napiórkowska#Poland#21:09
16.0#Elsa Sundqvist#Sweden#21:11
17.0#Liv Dinis#Sweden#21:12
18.0#Mireya Arnedillo#Spain#21:12
19.0#Megan Harris#Great Britain#21:14
20.0#Amy Greene#Ireland#21:15
21.0#Rebecca Flaherty#Great Britain#21:19
22.0#India Barwell#Great Britain#21:20
23.0#Nele Heymann#Germany#21:22
24.0#Thea Charlotte Knutsen#Norway#21:22
25.0#Ava O'Connor#Ireland#21:24
26.0#Anika Thompson#Ireland#21:30
27.0#Daria Domżalska#Poland#21:30
28.0#Rita Figueiredo#Portugal#21:32
29.0#Julie Voet#Belgium#21:32
30.0#Mia Waldmann#Great Britain#21:32
31.0#Ronja Hofstetter#Switzerland#21:38
32.0#Sila Bayir#Turkey#21:41
33.0#Jimena Blanco#Spain#21:43
34.0#Roise Roberts#Ireland#21:45
35.0#Carolina Fraquelli#Italy#21:45
36.0#Małgorzata Karpiuk#Poland#21:45
37.0#Beatrice Wood#Great Britain#21:46
38.0#Rocio Garrido#Spain#21:47
39.0#Emma D'Haene#Belgium#21:47
40.0#Ida Kraft#Sweden#21:51
41.0#Merve Karakaya#Turkey#21:52
42.0#Iva Gieselová#Czech Republic#21:53
43.0#Marit Griep#Netherlands#21:53
44.0#Loes Kempe#Netherlands#21:54
45.0#Yana Pauwelyn#Belgium#21:54
46.0#Elena Ribigini#Italy#21:55
47.0#Buse Mayda#Turkey#21:57
48.0#Lola Darcy#France#21:58
49.0#Ana Marinho#Portugal#22:00
50.0#Laura Ribigini#Italy#22:02
