date#city#country#venue
December 30, 2025#Taipei#Taiwan#Taipei Dome
December 31, 2025#Taipei#Taiwan#Taipei Dome
January 1, 2026#Taipei#Taiwan#Taipei Dome
February 2026#Hong Kong#Hong Kong#Kai Tak Stadium
February 2026#Hong Kong#Hong Kong#Kai Tak Stadium
March 7, 2026#Shenzhen#China#Shenzhen Universiade Sports Centre Stadium
March 8, 2026#Shenzhen#China#Shenzhen Universiade Sports Centre Stadium
March 14, 2026#Xiamen#China#Xiamen Egret Stadium
March 15, 2026#Xiamen#China#Xiamen Egret Stadium
March 21, 2026#Changsha#China#Helong Sports Center Stadium
March 22, 2026#Changsha#China#Helong Sports Center Stadium
March 28, 2026#Chongqing#China#Chongqing Olympic Sports Center Stadium
March 29, 2026#Chongqing#China#Chongqing Olympic Sports Center Stadium
April 11, 2026#Qingdao#China#Qingdao Citizen Fitness Center Stadium
April 18, 2026#Xi'an#China#Xi'an Olympic Sports Center Stadium
April 25, 2026#Suzhou#China#Suzhou Olympic Sports Centre Stadium
May 3, 2026#Nanning#China#Guangxi Sports Center Stadium
May 16, 2026#Hangzhou#China#Hangzhou Olympic Sports Center Stadium
May 17, 2026#Hangzhou#China#Hangzhou Olympic Sports Center Stadium
May 23, 2026#Hefei#China#Hefei Olympic Sports Center Stadium
June 13, 2026#Beijing#China#Beijing National Stadium
June 14, 2026#Beijing#China#Beijing National Stadium
June 20, 2026#Shenyang#China#Shenyang Olympic Sports Centre Stadium
July 4, 2026#Taiyuan#China#Shanxi Sports Centre Stadium
July 11, 2026#Nanchang#China#Nanchang International Sports Center Stadium
Total#Total#Total#Total
