skip#third#second#lead#alternate#coach#club
Alyssa Calvert#Stacey Irwin#Pam Robins#Roz Taylor#<NA>#<NA>#Carberry CC, Carberry
Kate Cameron#Briane Harris#Taylor McDonald#Mackenzie Elias#<NA>#Derek Samagalski#St. Adolphe CC, St. Adolphe
Cheyenne Ehnes#Makenna Hadway#Dayna Lea#Sawyer Elliott#Hannah Thiessen#Jonathan Friesen#Manitou CC, Manitou
Rachel Kaatz#Brianna Cullen#Zoey Terrick#Jaycee Terrick#Jensen Letham#Clinton Cullen#East St. Paul CC, East St. Paul
Kaitlyn Lawes (Fourth)#Selena Njegovan (Skip)[a]#Jocelyn Peterman#Kristin Gordon#<NA>#Marcel Rocque#Heather CC, Winnipeg
Hailey McFarlane#Janelle Lach#Stacy Sime#Hallie McCannell#Emilie Rafnson#<NA>#Rivers CC, Rivers
Lisa McLeod#Christine Mackay#Emily Cherwinski#Jolene Callum#<NA>#Lyall Hudson#Pembina CC, Winnipeg
Kelsey Calvert[b]#Beth Peterson#Katherine Remillard#Melissa Gordon-Kurz#<NA>#<NA>#Assiniboine Memorial CC, Winnipeg
Lane Prokopowich#Mikaylah Lyburn#Caitlin Kostna#Stephanie Feeleus#<NA>#William Lyburn#Granite CC, Winnipeg
Darcy Robertson#Rhonda Varnes#Brooklyn Meiklejohn#Kylie Lippens#Erika Campbell#James Kirkness#Heather CC, Winnipeg
Sarah-Jane Sass#Katy Lukowich#Julia Millan#Mackenzie Arbuckle#Danica Metcalfe#Tim Arbuckle#Heather CC, Winnipeg
Kristy Watling#Laura Burtnyk#Emily Deschenes#Sarah Pyke#<NA>#<NA>#East St. Paul CC, East St. Paul
