release_date#title#notes
March 13, 2000#Paradise Lost 2: Revelations#<NA>
April 22, 2001#Just, Melvin: Just Evil#<NA>
January 22, 2002#Britney Spears Live from Las Vegas#<NA>
April 30, 2003#Spellbound#distributed by ThinkFilm
May 30, 2003#Capturing the Friedmans#distributed by Magnolia Pictures
February 11, 2005#Inside Deep Throat#distributed by Universal Pictures and Imagine Entertainment
April 18, 2007#Autism: The Musical#<NA>
August 6, 2007#White Light/Black Rain: The Destruction of Hiroshima and Nagasaki#<NA>
July 24, 2009#One Minute to Nine#<NA>
August 7, 2009#By the People: The Election of Barack Obama#<NA>
October 9, 2009#Good Hair#distributed by Roadside Attractions
