no._overall#no._in_season#title#featured_matches#original_release_date#u.s._viewers_(millions)
1#1#"Dream"#<NA>#August 24, 2022#0.319
2#2#"Reality"#Wrexham 4–1 Wealdstone[a]Dagenham & Redbridge 1–1 Wrexham#August 24, 2022#0.225
3#3#"Rebuilding"#<NA>#August 31, 2022#0.232
4#4#"Home Opener"#Wrexham 1–1 Notts CountySouthend United 2–2 WrexhamGrimsby Town 3–1 WrexhamStockport County 2–1 Wrexham#August 31, 2022#0.160
5#5#"Fearless"#Wrexham 1–1 Chesterfield#September 7, 2022#0.278
6#6#"Hamilton!"#<NA>#September 7, 2022#0.213
7#7#"Wide World of Wales"#<NA>#September 14, 2022#0.242
8#8#"Away We Go"#Maidenhead United 3–2 Wrexham#September 14, 2022#0.142
9#9#"Welcome Home"#Wrexham 1–1 Torquay United#September 21, 2022#0.203
10#10#"Hooligans"#<NA>#September 28, 2022#0.206
11#11#"Sack the Gaffer"#None#September 28, 2022#0.147
12#12#"Wins and Losses"#Wrexham 1–0 Grimsby TownChesterfield 0–2 WrexhamWrexham 4–1 Aldershot TownWrexham 2–0 King's Lynn TownWrexham 4–2 Boreham Wood#October 5, 2022#0.203
13#13#"Bad Breaks" / "Worst Team in the League"#Wrexham 0–0 BromleyWrexham 6–5 Dover Athletic#October 5, 2022#0.149
14#14#"A Hollywood Distraction"#Wrexham 2–0 Stockport County (FA Trophy Semi-finals)#October 5, 2022#0.095
15#15#"Daggers"#Wrexham 3–0 Stockport CountyDagenham & Redbridge 3–0 Wrexham#October 5, 2022#0.101
16#16#"Hello Wembley"#Bromley 1–0 Wrexham (FA Trophy Final)#October 12, 2022#0.282
17#17#"Wromance"#<NA>#October 12, 2022#0.245
18#18#"Do or Die"#Wrexham 4–5 (a.e.t.) Grimsby Town (National League Play-offs Semi-final)#October 12, 2022#0.197
