name#party.1#county#elected_since
Helidon Bushati#PD#Shkodër County#2013
Kasem Mahmutaj#PD#Berat County#2021
Eralda Bano#PD#Fier County#2021
Emilja Koliqi#PD#Shkodër County#2021
Ferdinand Xhaferraj#PD#Durrës County#2021
Lefter Gështenja#PD#Elbasan County#2021
Zheni Gjergji#PD#Elbasan County#2021
Orjela Nebilaj#PD#Tirana County#2022
Ilda Dhori#PD#Fier County#2021
Dashnor Sula#PD#Elbasan County#2005
Sorina Koti#PD#Korçë County#2021
Nasip Naço#PS#Berat County#2009
Petro Koçi#PS#Fier County#2005
Klevis Xhoxhi#PS#Elbasan County#2021
Agron Çela#PS#Shkodër County#2013
Luljeta Bozo#PS#Tirana County#2021
Lavdrim Krashi#PS#Dibër County#2021
Ilir Metaj#PS#Vlorë County#2021
Gerta Duraku#PS#Kukës County#2021
Eduard Ndreca#PS#Lezhë County#2021
Niko Kuri#PS#Vlorë County#2021
Anduel Tahiraj#PS#Vlorë County#2021
Paulin Sterkaj#PS#Shkodër County#2005
Shpresa Marnoj#PS#Lezhë County#2021
Laert Duraj#PS#Gjirokastër County#2021
Baftjar Zeqaj#PS#Fier County#2021
Mirela Pitushi#PS#Fier County#2021
Ismet Beqiraj#PS#Fier County#2017
Lindita Buxheli#PS#Fier County#2017
Tatiana Piro#PS#Fier County#2017
Ilir Topi#PS#Korçë County#2021
Bardhyl Kollçaku#PS#Berat County#2021
Pranvera Resulaj#PS#Vlorë County#2021
Teuta Ramaj#PS#Vlorë County#2021
Agron Duka#PAA#Durrës County#2013
Monika Kryemadhi#PL#Fier County#2013
Petrit Vasili#PL#Tirana County#2013
Flutura Açka#DJATHTAS#Elbasan County#2021
