name#name.1#8th_cc#10th_cc#birth#pm#death#birthplace#ethnicity#gender
Mao Zedong[I]#毛泽东#Member#Member#1893#1921#1976#Hunan#Han#Male
Lin Biao[II]#林彪#Member#Nonmember#1907#1925#1971#Hubei#Han#Male
Baori Ledai#宝日勒岱#Nonmember#Member#1938#1958#2020#Inner Mongolia#Mongolian#Female
Cai Chang#蔡畅#Member#Member#1900#1923#1990#Hunan#Han#Female
Cai Shumei#蔡树梅#Nonmember#Member#1936#1956#Alive#Hebei#Han#Female
Cai Xiebin#蔡协斌#Nonmember#Member#1928#1958#1993#Jiangsu#Han#Male
Cao Lihuai#曹里怀#Nonmember#Member#1909#1928#1998#Hunan#Han#Male
Cao Yiou#曹轶欧#Nonmember#Member#1903#1926#1989#Beijing#Han#Female
Chen Boda[III]#陈伯达#Member#Expelled#1904#1927#1989#Fujian#Han#Male
Chen Kang#陈康#Nonmember#Nonmember#1911#1931#2002#Hubei#Han#Male
Chen Qihan#陈奇涵#Alternate#Member#1897#1925#1981#Jiangxi#Han#Male
Chen Shiyu#陈士榘#Nonmember#Member#1909#1927#1995#Hubei#Han#Male
Chen Xianrui#陈先瑞#Nonmember#Member#1913#1931#1996#Anhui#Han#Male
Chen Xilian#陈锡联#Member#Member#1915#1930#1999#Hubei#Han#Male
Chen Yi#陈毅#Member#Nonmember#1901#1923#1972#Sichuan#Han#Male
Chen Yonggui#陈永贵#Nonmember#Member#1914#1948#1986#Shanxi#Han#Male
Chen Yu#陈郁#Member#Member#1901#1925#1974#Guangdong#Han#Male
Chen Yun#陈云#Member#Member#1905#1925#1995#Shanghai#Han#Male
Cheng Shiqing#程世清#Nonmember#Nonmember#1918#1935#2008#Henan#Han#Male
Deng Yingchao#邓颖超#Member#Member#1904#1924#1992#Guangxi#Han#Female
Deng Zihui#邓子恢#Member#Nonmember#1896#1925#1972#Fujian#Han#Male
Ding Sheng#丁盛#Nonmember#Member#1913#1932#1999#Jiangxi#Han#Male
Dong Biwu#董必武#Member#Member#1886#1921#1975#Hubei#Han#Male
Dong Minghui#董明会#Nonmember#Member#1934#1958#1999#Hunan#Han#Male
Du Ping#杜平#Nonmember#Member#1908#1930#1999#Jiangxi#Han#Male
Fan Wenlan#范文澜#Nonmember#Died#1893#1926#1969#Zhejiang#Han#Male
Gao Weisong#高维嵩#Nonmember#Nonmember#1916#1933#1985#Shaanxi#Han#Male
Geng Biao#耿飚#Nonmember#Member#1909#1928#2000#Hunan#Han#Male
Guo Moruo#郭沫若#Nonmember#Member#1892#1927#1978#Sichuan#Han#Male
Han Xianchu#韩先楚#Member#Member#1913#1930#1986#Hubei#Han#Male
Hu Jizong#胡继宗#Nonmember#Member#1920#1938#1974#Hebei#Han#Male
Hua Guofeng#华国锋#Nonmember#Member#1921#1938#2008#Shanxi#Han#Male
Huang Yongsheng[IV]#黄永胜#Member#Expelled#1910#1927#1983#Hubei#Han#Male
Huang Zhen#黄镇#Nonmember#Member#1909#1932#1989#Anhui#Han#Male
Ji Dengkui#纪登奎#Nonmember#Member#1923#1938#1988#Shanxi#Han#Male
