name#party.1#state#constituency#member_since
Andreas Rimkus#SPD#North Rhine-Westphalia#Düsseldorf II#2013
Peter Ramsauer#CSU#Bavaria#Traunstein#1990
Renate Künast#Green#Berlin#<NA>#2002
Niels Annen#SPD#Hamburg#Hamburg-Eimsbüttel#2005
Sarah Ryglewski#SPD#Bremen#<NA>#2017
Annette Widmann-Mauz#CDU#Baden-Württemberg#Tübingen#1998
Yvonne Magwas#CDU#Saxony#<NA>#2013
Nadine Schön#CDU#Saarland#St. Wendel#2009
Michelle Müntefering#SPD#North Rhine-Westphalia#Herne – Bochum II#2013
Markus Grübel#CDU#Baden-Württemberg#Esslingen#2002
Andreas Scheuer#CSU#Bavaria#Passau#2002
Kai Gehring#Green#North Rhine-Westphalia#<NA>#2005
Sönke Rix#SPD#Schleswig-Holstein#<NA>#2005
Manuela Rottmann#Green#Bavaria#<NA>#2017
Volkmar Klein#CDU#North Rhine-Westphalia#Siegen-Wittgenstein#2009
Paul Lehrieder#CSU#Bavaria#Würzburg#2005
Katrin Budde#SPD#Saxony-Anhalt#<NA>#2017
Dietmar Nietan#SPD#North Rhine-Westphalia#<NA>#2005
Michael Gerdes#SPD#North Rhine-Westphalia#<NA>#2009
Tabea Rößner#Green#Rhineland-Palatinate#<NA>#2009
Kordula Schulz-Asche#Green#Hesse#<NA>#2017
Erwin Rüddel#CDU#Rhineland-Palatinate#<NA>#2009
Heike Baehrens#SPD#Baden-Württemberg#<NA>#2013
Michael Roth#SPD#Hesse#Werra-Meißner – Hersfeld-Rotenburg#1998
Thomas Hitschler#SPD#Rhineland-Palatinate#Südpfalz#2013
Astrid Damerow#CDU#Schleswig-Holstein#<NA>#2017
Tobias Lindner#Green#Rhineland-Palatinate#<NA>#2011
Martin Rosemann#SPD#Baden-Württemberg#<NA>#2013
Sven-Christian Kindler#Green#Lower Saxony#<NA>#2009
Oliver Grundmann#CDU#Lower Saxony#<NA>#2013
Christine Aschenberg-Dugnus#FDP#Schleswig-Holstein#<NA>#2017
Maria Klein-Schmeink#Green#North Rhine-Westphalia#Münster#2009
Dagmar Andres#SPD#North Rhine-Westphalia#Euskirchen – Rhein-Erft-Kreis II#2021
Michael Grosse-Brömer#CDU#Lower Saxony#Harburg#2002
Hermann Gröhe#CDU#North Rhine-Westphalia#Neuss I#1994
Udo Schiefner#SPD#North Rhine-Westphalia#<NA>#2013
Max Straubinger#CSU#Bavaria#<NA>#1994
Bernd Westphal#SPD#Lower Saxony#<NA>#2013
Beate Walter-Rosenheimer#Green#Bavaria#<NA>#2012
Marco Wanderwitz#CDU#Saxony#<NA>#2002
Albrecht Glaser#AfD#Hesse#<NA>#2017
Gesine Lötzsch#Left#Berlin#Berlin-Lichtenberg#2002
Petra Pau#Left#Berlin#<NA>#1998
Karamba Diaby#SPD#Halle#Halle#2013
Kevin Kühnert#SPD#Berlin#Berlin-Tempelhof-Schöneberg#2021
Tessa Ganserer#Green#Bavaria#<NA>#2021
Cem Özdemir#Green#Baden-Württemberg#Stuttgart I#1994
Volker Wissing#Ind.#Rhineland-Palatinate#<NA>#2021
Susanne Hennig-Wellsow#Left#Thuringia#<NA>#2021
Bernd Riexinger#Left#Baden-Württemberg#<NA>#2017
