affiliation_affiliation.1#house_results_of_the_2022_election#house_as_of_24_february_2025#house_change#senate_results_of_the_2022_election#senate_as_of_24_february_2025#senate_change
Labor#77#77#0#26#25#1.0
Coalition#58#53#5#32#30#2.0
The Greens#4#4#0#12#11#1.0
One Nation#0#0#0#2#2#0.0
United Australia[g]#0#0#0#1#1#0.0
Katter's Australian#1#1#0#0#0#0.0
Centre Alliance#1#1#0#0#0#0.0
Lambie Network#0#0#0#2#1#1.0
Australia's Voice[h]#0#0#0#0#1#1.0
People First[i]#0#0#0#0#1#1.0
Independents[j]#10#13#3#1#4#3.0
Vacant[k]#0#2#2#0#0#<NA>
Total seats#151#151#151#76#76#76.0
