congressional_district#incumbent#incumbent's_party.1#winner#winner's_party.1#winning_margin
Abra#Ching Bernos#Lakas#Joseph Bernos#Lakas#70.98%
Agusan del Norte#Dale Corvera#Lakas#Dale Corvera#Lakas#Unopposed
Agusan del Sur–1st#Alfel Bascug#NUP#Alfel Bascug#NUP#Unopposed
Agusan del Sur–2nd#Eddiebong Plaza#NUP#Eddiebong Plaza#NUP#Unopposed
Aklan–1st#Carlito Marquez#NPC#Jess Marquez#NPC#7.82%
Aklan–2nd#Teodorico Haresco Jr.#Nacionalista#Florencio Miraflores#NPC#2.03%
Albay–1st#Vacant#Vacant#Krisel Lagman#Liberal#8.96%
Albay–2nd#Joey Salceda#Lakas#Caloy Loria#PDP#1.16%
Albay–3rd#Fernando Cabredo#NUP#Adrian Salceda#Lakas#1.90%
Antipolo–1st#Roberto Puno#NUP#Ronaldo Puno#NUP#80.66%
Antipolo–2nd#Romeo Acop#NUP#Romeo Acop#NUP#Unopposed
Antique#Antonio Legarda Jr.#NPC#Antonio Legarda Jr.#NPC#27.17%
Apayao#Eleanor Begtang#NPC#Eleanor Begtang#NPC#Unopposed
Aurora#Rommel T. Angara#LDP#Rommel T. Angara#LDP#Unopposed
Bacolod#Greg Gasataya#NPC#Albee Benitez#Independent#15.51%
Baguio#Mark Go#Nacionalista#Mauricio Domogan#Independent#10.19%
Basilan#Mujiv Hataman#BUP#Yusop Alano#PFP#13.02%
Bataan–1st#Geraldine Roman#Lakas#Tony Roman#Lakas#Unopposed
Bataan–2nd#Albert Garcia#NUP#Albert Garcia#NUP#Unopposed
Bataan–3rd#Maria Angela Garcia#NUP#Maria Angela Garcia#NUP#75.02%
Batanes#Jun Gato#NPC#Jun Gato#NPC#32.20%
Batangas–1st#Eric Buhain#Nacionalista#Leandro Leviste#Independent#49.16%
Batangas–2nd#Gerville Luistro#Lakas#Gerville Luistro#Lakas#24.36%
Batangas–3rd#Maria Theresa Collantes#NPC#King Collantes#NPC#25.27%
Batangas–4th#Lianda Bolilia#Nacionalista#Caloy Bolilia#Nacionalista#5.93%
Batangas–5th#Marvey Mariño#Nacionalista#Beverley Dimacuha#Nacionalista#74.60%
Batangas–6th#Vacant#Vacant#Ryan Recto#Nacionalista#9.83%
Benguet#Eric Yap#Lakas#Eric Yap#Lakas#39.38%
Biliran#Gerardo Espina Jr.#Lakas#Gerardo Espina Jr.#Lakas#Unopposed
Biñan#Len Alonte#Lakas#Arman Dimaguila#Lakas#25.24%
Bohol–1st#Edgar Chatto#NUP#John Geesnell Yap#LDP#9.13%
Bohol–2nd#Vanvan Aumentado#Lakas#Vanvan Aumentado#Lakas#57.72%
Bohol–3rd#Alexie Tutor#Lakas#Alexie Tutor#Lakas#44.46%
Bukidnon–1st#Jose Manuel Alba#Lakas#Jose Manuel Alba#Lakas#15.42%
Bukidnon–2nd#Jonathan Keith Flores#Lakas#Jonathan Keith Flores#Lakas#66.94%
Bukidnon–3rd#Jose Maria Zubiri Jr.#PFP#Audrey Zubiri#PFP#88.48%
Bukidnon–4th#Laarni Roque#Nacionalista#Laarni Roque#Nacionalista#7.31%
Bulacan–1st#Danny Domingo#NUP#Danny Domingo#NUP#62.14%
Bulacan–2nd#Tina Pancho#NUP#Tina Pancho#NUP#88.50%
Bulacan–3rd#Lorna Silverio#NUP#Cholo Violago#Lakas#21.47%
