pos.#driver#aus#chn#jpn#bhr#sau#mia#points
1#Oscar Piastri#9#12 P#3#1PF#1#12#131
2#Lando Norris#1PF#28 F#2#3#4F#21 F#115
3#Max Verstappen#2#43#1P#6#2P#4P#99
4#George Russell#3#34#5#2#5#34#93
5#Charles Leclerc#8#DSQ5#4#4#3#7#53
6#Andrea Kimi Antonelli#4#67#6F#11#6#67#48
7#Lewis Hamilton#10#DSQ1#7#5#7#83#41
8#Alexander Albon#5#7#9#12#9#5#30
9#Esteban Ocon#13#5#18#8#14#12#14
10#Lance Stroll#6#9#20#17#16#165#14
11#Yuki Tsunoda#12#166#12#9#Ret#106#9
12#Pierre Gasly#11#DSQ#13#7#Ret#138#7
13#Carlos Sainz Jr.#Ret#10#14#Ret#8#9#7
14#Nico Hülkenberg#7#15#16#DSQ#15#14#6
15#Oliver Bearman#14#8#10#10#13#Ret#6
16#Isack Hadjar#DNS#11#8#13#10#11#5
17#Fernando Alonso#Ret#Ret#11#15#11#15#0
18#Liam Lawson#Ret#12#17#16#12#Ret#0
19#Jack Doohan#Ret#13#15#14#17#Ret#0
20#Gabriel Bortoleto#Ret#14#19#18#18#Ret#0
<NA>#Franco Colapinto#<NA>#<NA>#<NA>#<NA>#<NA>#<NA>#0
Pos.#Driver#AUS#CHN#JPN#BHR#SAU#MIA#Points
Source:#Source:#Source:#Source:#Source:#Source:#Source:#Source:#Source:
