team#location#stadium#stadium_capacity[a]
AIK#Stockholm#Skytteholms IP#5200
Alingsås#Alingsås#Mjörnvallen#1500
Brommapojkarna#Stockholm#Grimsta IP#5000
Djurgården#Stockholm#Stockholm Olympic Stadium#14417
Häcken#Gothenburg#Bravida Arena#6500
Hammarby#Stockholm#Hammarby IP#3700
Kristianstad#Kristianstad#Kristianstads Fotbollsarena#3,080[b]
Kristianstad#Kristianstad#Vilans IP#5,000[b]
Linköping#Linköping#Arena Linköping#8500
Malmö#Malmö#Malmö Stadion#26500
Norrköping#Norrköping#PlatinumCars Arena#17234
Piteå#Piteå#LF Arena#6500
Rosengård#Malmö#Malmö IP#5700
Växjo#Växjö#Visma Arena#12000
Vittsjö#Vittsjö#Vittsjö IP#3000
