rank#skater#nation#total#sp#sp.1#fs#fs.1
<NA>#Kim Chae-yeon#South Korea#222.38#1#74.02#1#148.36
<NA>#Bradie Tennell#United States#204.38#5#66.58#2#137.8
<NA>#Sarah Everhardt#United States#200.03#3#67.36#3#132.67
4.0#Alysa Liu#United States#198.55#4#67.09#4#131.46
5.0#Wakaba Higuchi#Japan#195.16#7#65.1#5#130.06
6.0#Mone Chiba#Japan#195.08#2#71.2#7#123.88
7.0#Sofia Samodelkina#Kazakhstan#193.37#8#63.98#6#129.39
8.0#Lee Hae-in#South Korea#183.1#10#60.77#8#122.33
9.0#Yun Ah-sun#South Korea#182.68#6#65.57#10#117.11
10.0#Sara-Maude Dupuis#Canada#178.36#9#62.35#12#116.01
11.0#Rino Matsuike#Japan#177.1#13#55.07#9#122.03
12.0#Madeline Schizas#Canada#176.47#11#59.7#11#116.77
13.0#An Xiangyi#China#163.92#12#57.63#13#106.29
14.0#Katherine Medland Spence#Canada#156.95#14#53.02#14#103.93
15.0#Zhu Yi#China#151.93#15#48.38#15#103.55
16.0#Tara Prasad#India#143.01#17#47.39#16#95.62
17.0#Chen Hongyi#China#138.7#16#47.57#17#91.13
18.0#Gian-Quen Isaacs#South Africa#123.54#18#44.79#18#78.75
19.0#Sofia Lexi Jacqueline Frank#Philippines#115.39#20#41.78#19#73.61
20.0#Sofiya Farafonova#Kazakhstan#104.2#19#42.02#21#62.18
21.0#Maria Chernyshova#Australia#102.91#21#40.59#20#62.32
