party.1#candidate#votes#%
Nacionalista#Ma. Claudette Ambida#148244.0#10.69%
Nacionalista#Aileen Montalbo#129011.0#9.30%
Nacionalista#Arthur Blanco#127882.0#9.22%
Nacionalista#Andrea Faytaren Macaraig#115737.0#8.34%
Nacionalista#Gerry Dela Roca#101438.0#7.31%
Nacionalista#Armando Lazarte#97938.0#7.06%
Nacionalista#Lorenzo Gamboa Jr.#92703.0#6.68%
Nacionalista#Ailin Dimacuha#90827.0#6.55%
Nacionalista#Zester Carlo Hernandez#90156.0#6.50%
Nacionalista#Jonash Tolentino#89777.0#6.47%
Nacionalista#Isidra "Ched" Atienza#87789.0#6.33%
Nacionalista#Michael Villena#85393.0#6.16%
PFP#Ruben Maderazo#29444.0#2.12%
PFP#Francisco Tegon#28227.0#2.03%
Independent#Julian Mendoza#26213.0#1.89%
PFP#Archie Tumambing#25585.0#1.84%
PFP#Dan-Rey Reyes#20807.0#1.50%
Total votes#Total votes#1387171.0#100.00%
