ep._ep.#original_broadcast_date_original_broadcast_date#average_audience_share_(nielsen_korea)[18]_nationwide#average_audience_share_(nielsen_korea)[18]_seoul
1#April 18, 2025#9.2% (3rd)#9.2% (2nd)
2#April 19, 2025##8.4% (2nd)
3#April 25, 2025#9.3% (3rd)#9.0% (1st)
4#April 26, 2025#9.2% (2nd)#8.8% (2nd)
5#May 2, 2025#8.8% (2nd)#8.2% (2nd)
6#May 3, 2025#8.8% (2nd)#8.3% (2nd)
7#May 9, 2025#9.8% (2nd)#9.6% (1st)
8#May 10, 2025#9.5% (2nd)#9.1% (2nd)
9#May 16, 2025#10.7% (1st)#10.0% (1st)
10#May 17, 2025#9.8% (2nd)#9.3% (2nd)
11#May 23, 2025#<NA>#<NA>
12#May 24, 2025#<NA>#<NA>
13#May 30, 2025#<NA>#<NA>
14#May 31, 2025#<NA>#<NA>
15#June 6, 2025#<NA>#<NA>
16#June 7, 2025#<NA>#<NA>
Average#Average#<NA>#<NA>
