event#gold#silver#bronze
Extra-lightweight (−60 kg)#Iznaur Saaev [ru] (IJF)#Talgat Orynbassar (KAZ)#Magzhan Shamshadin (KAZ)
Extra-lightweight (−60 kg)#Iznaur Saaev [ru] (IJF)#Talgat Orynbassar (KAZ)#Aman Bakytzhan (KAZ)
Half-lightweight (−66 kg)#Ramazan Abdulaev (IJF)#Gusman Kyrgyzbayev (KAZ)#Jantsandorj Unurbat (MGL)
Half-lightweight (−66 kg)#Ramazan Abdulaev (IJF)#Gusman Kyrgyzbayev (KAZ)#Mukhriddin Tilovov (UZB)
Lightweight (−73 kg)#Nils Stump (SUI)#Kazbek Naguchev [ru] (UAE)#Lavjargalyn Ankhzayaa (MGL)
Lightweight (−73 kg)#Nils Stump (SUI)#Kazbek Naguchev [ru] (UAE)#Yeset Kuanov (KAZ)
Half-middleweight (−81 kg)#Lee Joon-hwan (KOR)#Takanori Nagase (JPN)#Zaur Dvalashvili (GEO)
Half-middleweight (−81 kg)#Lee Joon-hwan (KOR)#Takanori Nagase (JPN)#Abylaikhan Zhubanazar (KAZ)
Middleweight (−90 kg)#Mikhail Igolnikov (IJF)#Egor Malkin (IJF)#Adam Kopecký (CZE)
Middleweight (−90 kg)#Mikhail Igolnikov (IJF)#Egor Malkin (IJF)#Theodoros Tselidis (GRE)
Half-heavyweight (−100 kg)#Dota Arai [ja] (JPN)#Daniel Eich (SUI)#Marat Baikamurov (KAZ)
Half-heavyweight (−100 kg)#Dota Arai [ja] (JPN)#Daniel Eich (SUI)#Bakzhan Baitas (KAZ)
Heavyweight (+100 kg)#Hyōga Ōta (JPN)#Yerassyl Kazhibayev (KAZ)#Grzegorz Teresiński (POL)
Heavyweight (+100 kg)#Hyōga Ōta (JPN)#Yerassyl Kazhibayev (KAZ)#Saba Inaneishvili (GEO)
