rank#nation#gold#silver#bronze#total
1#International Judo Federation (IJF)#3#2#0#5
2#South Korea (KOR)#3#0#0#3
3#Japan (JPN)#2#4#1#7
4#France (FRA)#2#1#1#4
5#China (CHN)#1#1#1#3
6#Switzerland (SUI)#1#1#0#2
7#Germany (GER)#1#0#3#4
8#Italy (ITA)#1#0#1#2
9#Kazakhstan (KAZ)*#0#3#6#9
10#Spain (ESP)#0#1#0#1
10#United Arab Emirates (UAE)#0#1#0#1
12#Brazil (BRA)#0#0#6#6
13#Mongolia (MGL)#0#0#3#3
14#Georgia (GEO)#0#0#2#2
15#Czech Republic (CZE)#0#0#1#1
15#Greece (GRE)#0#0#1#1
15#Poland (POL)#0#0#1#1
15#Uzbekistan (UZB)#0#0#1#1
Totals (18 entries)#Totals (18 entries)#14#14#28#56
