ep._ep.#original_broadcast_date_original_broadcast_date#average_audience_share_(nielsen_korea)[36]_nationwide#average_audience_share_(nielsen_korea)[36]_seoul
1#February 21, 2025#5.6% (12th)#5.8% (9th)
2#February 22, 2025#6.6% (5th)#6.5% (4th)
3#February 28, 2025#6.6% (9th)#6.7% (6th)
4#March 1, 2025##8.3% (3rd)
5#March 7, 2025#7.2% (6th)#7.0% (6th)
6#March 8, 2025#6.7% (3rd)#7.1% (3rd)
7#March 14, 2025#6.8% (6th)#6.3% (8th)
8#March 15, 2025#6.1% (4th)#6.1% (3rd)
9#March 21, 2025#6.1% (7th)#5.8% (8th)
10#March 22, 2025#5.4% (5th)#5.3% (5th)
11#March 28, 2025#6.0% (6th)#6.3% (7th)
12#March 29, 2025#5.8% (4th)#5.8% (4th)
Average#Average#6.4%#6.4%
