club#manager#captain#kit_manufacturer#main_shirt_sponsor
Albirex Niigata#Daisuke Kimori#Yuto Horigome#Adidas#Kameda Seika
Avispa Fukuoka#Kim Myung-hwi#Tatsuki Nara#Yonex#Shin Nihon Seiyaku
Cerezo Osaka#Arthur Papas#Shunta Tanaka#Mizuno#Yanmar
Fagiano Okayama#Takashi Kiyama#Ryo Takeuchi#Penalty#GROP
FC Tokyo#Rikizo Matsuhashi#Kei Koizumi#New Balance#Tokyo Gas
Gamba Osaka#Dani Poyatos#Takashi Usami#Hummel#Panasonic
Kashima Antlers#Toru Oniki#Gaku Shibasaki#Nike#LIXIL
Kashiwa Reysol#Ricardo Rodríguez#Tomoya Inukai#Yonex#Hitachi
Kawasaki Frontale#Shigetoshi Hasebe#Yasuto Wakizaka#Puma#Fujitsu
Kyoto Sanga#Cho Kwi-jae#Sota Kawasaki#Puma#Kyocera
Machida Zelvia#Go Kuroda#Gen Shoji#Adidas#CyberAgent
Nagoya Grampus#Kenta Hasegawa#Ryuji Izumi#Mizuno#Toyota GR Yaris
Sanfrecce Hiroshima#Michael Skibbe#Sho Sasaki#Nike#EDION
Shimizu S-Pulse#Tadahiro Akiba#Koya Kitagawa#Puma#Suzuyo
Shonan Bellmare#Satoshi Yamaguchi#Akito Suzuki#Penalty#Meldia
Tokyo Verdy#Hiroshi Jofuku#Koki Morita#Athleta#Nicigas
Urawa Red Diamonds#Maciej Skorża#Takahiro Sekine#Nike#Polus
Vissel Kobe#Takayuki Yoshida#Tetsushi Yamakawa#Asics#Rakuten Mobile
Yokohama FC#Shuhei Yomoda#Yoshiaki Komai#Puma#Onodera Group
Yokohama F. Marinos#Patrick Kisnorbo#Takuya Kida#Adidas#Nissan
