ep._ep.#original_broadcast_date_original_broadcast_date#average_audience_share_(nielsen_korea)[20][21]_nationwide#average_audience_share_(nielsen_korea)[20][21]_seoul
1#March 31, 2025##3.612% (1st)
2#April 1, 2025#2.412% (2nd)#2.841% (1st)
3#April 7, 2025#2.028% (1st)#2.039% (2nd)
4#April 8, 2025#1.384% (6th)#1.680% (4th)
5#April 14, 2025#1.603% (3rd)#1.699% (3rd)
6#April 15, 2025#1.261% (6th)#1.458% (4th)
7#April 21, 2025#1.355% (4th)#1.353% (4th)
8#April 22, 2025#1.0% (17th)#<NA>
9#April 28, 2025#1.379% (2nd)#1.788% (2nd)
10#April 29, 2025#1.05% (17th)#1.103% (8th)
11#May 5, 2025#0.9% (23th)#<NA>
12#May 6, 2025#1.1% (14th)#<NA>
Average#Average#<NA>#<NA>
