no.#title#air_date#rating/share_(18–49)#viewers_(millions)#dvr_viewers_(millions)#total_viewers_(millions)
1#"Pilot"#February 23, 2025#0.2/3#1.79#1.01#2.80
2#"Pests"#March 2, 2025#0.1/1#1.02#0.83#1.86
3#"Companion Planting"#March 9, 2025#0.1/1#1.06#0.70#1.77
4#"Force of Nature"#March 16, 2025#0.1/2#1.03#0.71#1.74
5#"Pollination"#March 23, 2025#0.1/1#0.85#0.74#1.60
6#"Plant Parenthood"#March 30, 2025#0.1/2#1.0#0.71#1.71
7#"Germination"#April 4, 2025#0.1/2#1.21#<NA>#<NA>
8#"The Frost"#April 11, 2025#0.1/2#1.34#<NA>#<NA>
9#"The Cup"#April 18, 2025#0.1/2#1.28#<NA>#<NA>
10#"Seasons"#April 25, 2025#0.1/1#1.24#<NA>#<NA>
11#"Monaco Under the Stars"#May 2, 2025#0.1/2#1.38#<NA>#<NA>
12#"The Fallow Period"#May 9, 2025#0.1/2#1.4#<NA>#<NA>
