no.#driver#co-driver#entrant#car#championship_eligibility
1#Thierry Neuville#Martijn Wydaeghe#Hyundai Shell Mobis WRT#Hyundai i20 N Rally1#Driver, Co-driver, Manufacturer
5#Sami Pajari#Marko Salminen#Toyota Gazoo Racing WRT2#Toyota GR Yaris Rally1#Driver, Co-driver, Manufacturer
8#Ott Tänak#Martin Järveoja#Hyundai Shell Mobis WRT#Hyundai i20 N Rally1#Driver, Co-driver, Manufacturer
9#Jourdan Serderidis#Frédéric Miclotte#M-Sport Ford WRT#Ford Puma Rally1#Driver, Co-driver
13#Grégoire Munster#Louis Louka#M-Sport Ford WRT#Ford Puma Rally1#Driver, Co-driver, Manufacturer
16#Adrien Fourmaux#Alexandre Coria#Hyundai Shell Mobis WRT#Hyundai i20 N Rally1#Driver, Co-driver, Manufacturer
18#Takamoto Katsuta#Aaron Johnston#Toyota Gazoo Racing WRT#Toyota GR Yaris Rally1#Driver, Co-driver, Manufacturer
22#Mārtiņš Sesks#Renārs Francis#M-Sport Ford WRT#Ford Puma Rally1#Driver, Co-driver
33#Elfyn Evans#Scott Martin#Toyota Gazoo Racing WRT#Toyota GR Yaris Rally1#Driver, Co-driver, Manufacturer
37#Lorenzo Bertelli#Simone Scattolin#Toyota Gazoo Racing WRT#Toyota GR Yaris Rally1#Driver, Co-driver
55#Josh McErlean#Eoin Treacy#M-Sport Ford WRT#Ford Puma Rally1#Driver, Co-driver, Manufacturer
69#Kalle Rovanperä#Jonne Halttunen#Toyota Gazoo Racing WRT#Toyota GR Yaris Rally1#Driver, Co-driver, Manufacturer
