ep._ep.#original_broadcast_date_original_broadcast_date#average_audience_share_(nielsen_korea)[11][12]_nationwide#average_audience_share_(nielsen_korea)[11][12]_seoul
1#March 1, 2025#1.705% (5th)#1.744% (3rd)
2#March 2, 2025#1.811% (3rd)#
3#March 8, 2025#1.4% (13th)#1.551% (6th)
4#March 9, 2025#2.003% (3rd)#1.883% (2nd)
5#March 15, 2025#1.1% (16th)#1.133% (5th)
6#March 16, 2025#1.632% (5th)#1.639% (2nd)
7#March 22, 2025#1.298% (8th)#1.376% (4th)
8#March 23, 2025#2.000% (2nd)#1.570% (4th)
9#March 29, 2025#1.1% (18th)#1.447% (6th)
10#March 30, 2025#1.920% (3rd)#1.712% (3rd)
11#April 5, 2025#1.2% (11th)#1.272% (9th)
12#April 6, 2025#1.791% (3rd)#1.714% (2nd)
Average#Average#1.58%#1.58%
