leaderboard_below_the_top_10_place#leaderboard_below_the_top_10_player#leaderboard_below_the_top_10_score#leaderboard_below_the_top_10_to_par#leaderboard_below_the_top_10_money_($)
T12#Harris English#70-73-73-68=284#−4#462000.0
T12#Max Homa#74-70-69-71=284#−4#462000.0
T14#Tyrrell Hatton#69-70-75-71=285#−3#336000.0
T14#Tom Hoge#72-72-70-71=285#−3#336000.0
T14#Matt McCarty#71-68-75-71=285#−3#336000.0
T14#Collin Morikawa#72-69-72-72=285#−3#336000.0
T14#Jon Rahm (c)#75-71-70-69=285#−3#336000.0
T14#Jordan Spieth (c)#73-73-69-70=285#−3#336000.0
T14#Bubba Watson (c)#71-72-74-68=285#−3#336000.0
T21#An Byeong-hun#74-71-70-71=286#−2#210000.0
T21#Daniel Berger#71-73-73-69=286#−2#210000.0
T21#Tommy Fleetwood#73-69-75-69=286#−2#210000.0
T21#Viktor Hovland#71-69-73-73=286#−2#210000.0
T21#Hideki Matsuyama (c)#73-68-79-66=286#−2#210000.0
T21#Davis Riley#73-69-75-69=286#−2#210000.0
T27#Michael Kim#71-71-74-71=287#−1#158550.0
T27#Aaron Rai#70-74-73-70=287#−1#158550.0
T29#Denny McCarthy#71-75-71-71=288#E#142800.0
T29#Joaquín Niemann#72-74-70-72=288#E#142800.0
T29#Sahith Theegala#72-72-73-71=288#E#142800.0
T32#Brian Campbell#72-73-76-68=289#+1#121538.0
T32#Max Greyserman#71-75-69-74=289#+1#121538.0
T32#Rasmus Højgaard#73-67-75-74=289#+1#121538.0
T32#Maverick McNealy#72-73-71-73=289#+1#121538.0
T36#Patrick Cantlay#74-72-73-71=290#+2#101063.0
T36#Brian Harman#71-71-77-71=290#+2#101063.0
T36#Charl Schwartzel (c)#74-72-72-72=290#+2#101063.0
T36#Justin Thomas#73-71-76-70=290#+2#101063.0
T40#Matt Fitzpatrick#71-73-74-73=291#+3#88200.0
T40#Nick Taylor#73-71-74-73=291#+3#88200.0
T42#Akshay Bhatia#70-76-75-71=292#+4#75600.0
T42#Shane Lowry#71-68-72-81=292#+4#75600.0
T42#J. T. Poston#74-72-73-73=292#+4#75600.0
T42#Danny Willett (c)#75-71-73-73=292#+4#75600.0
T46#Sam Burns#73-70-75-75=293#+5#61180.0
T46#Wyndham Clark#76-68-75-74=293#+5#61180.0
T46#Davis Thompson#71-73-70-79=293#+5#61180.0
49#Min Woo Lee#71-72-77-74=294#+6#54600.0
50#J. J. Spaun#74-72-74-75=295#+7#52920.0
51#Nico Echavarría#73-70-69-84=296#+8#51660.0
T52#Stephan Jäger#72-74-73-78=297#+9#49980.0
T52#Tom Kim#73-73-72-79=297#+9#49980.0
CUT#Keegan Bradley#74-73=147#+3#<NA>
CUT#Russell Henley#79-68=147#+3#<NA>
CUT#Dustin Johnson (c)#74-73=147#+3#<NA>
CUT#Chris Kirk#75-72=147#+3#<NA>
CUT#Bernhard Langer (c)#74-73=147#+3#<NA>
CUT#Rafael Campos#75-73=148#+4#<NA>
CUT#Fred Couples (c)#71-77=148#+4#<NA>
CUT#Tony Finau#75-73=148#+4#<NA>
